episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-10.062121376943827,2282,65,0.985,0.08537346376553895
2,10x5_10x5x3,-1.660956567313323,1952,85,0.970225,0.0847376025007928
3,6x6_6x6x2,-9.23780978276067,2253,66,0.955671625,0.05625518947613962
4,10x5_10x5x3,-2.8288811400246083,2082,102,0.941336550625,0.049631502954106704
5,6x6_6x6x2,-10.55507072219418,2299,60,0.927216502365625,0.05178267594116429
6,10x5_10x5x3,-2.4770896925275685,2022,89,0.9133082548301407,0.06282505104213618
7,6x6_6x6x2,-10.020785394472533,2306,63,0.8996086310076885,0.05277446924989659
8,10x5_10x5x3,-1.8536014157159735,2043,81,0.8861145015425732,0.07051916342274642
9,6x6_6x6x2,-9.838770457531727,2301,65,0.8728227840194346,0.06594798051967071
10,10x5_10x5x3,-2.794585414091923,2144,83,0.8597304422591431,0.07107062503156891
11,6x6_6x6x2,-9.310672898056785,2119,59,0.8468344856252559,0.06613789937632569
12,10x5_10x5x3,-1.7753080433430377,2063,84,0.834131968340877,0.07154835210669608
13,6x6_6x6x2,-9.46181767133793,2263,62,0.8216199888157638,0.07252320851529798
14,10x5_10x5x3,-2.4437455089681697,2119,86,0.8092956889835273,0.07700584659916024
15,6x6_6x6x2,-9.282304920023435,2219,57,0.7971562536487744,0.07987520490822039
16,10x5_10x5x3,-1.506560614952398,1889,68,0.7851989098440427,0.08070269216071158
17,6x6_6x6x2,-9.612492378049854,2299,58,0.773420926196382,0.08527491241693497
18,10x5_10x5x3,-1.9080638339415548,2018,89,0.7618196123034363,0.09031302864883053
19,15x5_15x5x2,-1.1581839941294407,4091,96,0.7503923181188847,0.08302438909110303
20,10x10_10x10x4,-5.731029576731785,2973,224,0.7391364333471014,0.091614477224648
21,6x6_6x6x2,-9.597666621921999,2235,54,0.7280493868468949,0.09348265943979775
22,10x5_10x5x3,-1.665195386449025,2043,98,0.7171286460441915,0.10066394253196764
23,15x5_15x5x2,-0.5112457166311581,3944,100,0.7063717163535286,0.09382100477814674
24,10x10_10x10x4,-4.194039911341976,2815,187,0.6957761406082257,0.09169626602514543
25,6x6_6x6x2,-9.180400832878547,2204,58,0.6853394984991023,0.09233264381001735
26,10x5_10x5x3,-1.4658327819916182,1968,87,0.6750594060216157,0.08994286408883402
27,15x5_15x5x2,-0.6737323423414792,4060,97,0.6649335149312915,0.08286233841604793
28,10x10_10x10x4,-4.708037833053298,2954,202,0.6549595122073221,0.07911204661242664
29,6x6_6x6x2,-10.525415974248752,2420,63,0.6451351195242122,0.07923063298776037
30,10x5_10x5x3,-2.7359829259859056,2080,107,0.635458092731349,0.08464690104614352
31,15x5_15x5x2,-1.0960739102687418,4176,103,0.6259262213403788,0.08197154415753281
32,10x10_10x10x4,-5.6994937452769125,2784,185,0.6165373280202731,0.07898098322990778
33,6x6_6x6x2,-11.159945305716477,2485,67,0.607289268099969,0.07495399903672845
34,10x10_10x10x4,-5.47747843457806,2966,210,0.5981799290784694,0.075332752764225
35,15x10_15x10x3,-2.450382255254345,5411,216,0.5892072301422924,0.07027878773398698
36,20x10_20x10x5,4.500164293490173,4297,353,0.580369121690158,0.07151278519071638
37,30x10_30x10x2,7.838273385354375,16096,328,0.5716635848648056,0.07498951331712306
38,30x10_30x10x6,13.953563179234035,5419,556,0.5630886310918335,0.07745546713471413
39,50x10_50x10x3,30.134378343808145,17392,561,0.554642301625456,0.07958490408957004
40,100x10_100x10x3,76.98699153395958,34223,1106,0.5463226671010741,0.07950680328533054
41,6x6_6x6x2,-9.371562027182184,2228,75,0.538127827094558,0.07958563218514124
42,10x5_10x5x3,-2.8652773149987483,2138,88,0.5300559096881396,0.08405231553214518
43,15x5_15x5x2,0.10246738756343365,3786,88,0.5221050710428176,0.08005604107694869
44,10x10_10x10x4,-4.99385071957043,2955,202,0.5142734949771753,0.07379313372075558
45,15x10_15x10x3,-0.8710059881195684,5159,222,0.5065593925525177,0.07106429669074714
46,20x10_20x10x5,6.849174027854849,4355,345,0.4989610016642299,0.06973237670026719
47,30x10_30x10x2,6.936319660357629,16166,357,0.49147658663926647,0.06705960017628967
48,30x10_30x10x6,17.45972190684662,5238,450,0.48410443783967744,0.06628728010691702
49,50x10_50x10x3,30.92808309085742,17544,588,0.47684287127208225,0.06518432190641761
50,100x10_100x10x3,76.56670280109742,34200,1102,0.469690228203001,0.06461433057673276
