algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_full_best.pt,6x6_6x6x2,3261,-14.915174320689488,202,36,357,0,0.8430413355744748,0.9797580877186924
dqn,dqn_full_best.pt,10x5_10x5x3,2099,-3.0103206040532418,105,50,525,0,0.8670361182659526,0.9985514843394996
dqn,dqn_full_best.pt,15x5_15x5x2,4402,-1.6486487945041273,136,75,804,0,0.8747340248003747,0.9940759376247778
dqn,dqn_full_best.pt,10x10_10x10x4,3158,-9.35765377469038,286,100,1079,0,0.864776105542529,0.993698146893012
dqn,dqn_full_best.pt,15x10_15x10x3,5569,-3.9821103492717924,295,150,1626,0,0.8624423688591197,0.9911227108735884
dqn,dqn_full_best.pt,20x10_20x10x5,4337,1.6163280132536588,378,200,2103,0,0.865292384104094,0.9951612513245273
dqn,dqn_full_best.pt,30x10_30x10x2,15828,9.281608328933402,351,300,3665,0,0.8942738038483533,0.9982687219622118
dqn,dqn_full_best.pt,30x10_30x10x6,5367,10.132950120763825,534,300,3298,0,0.8727897329518366,0.9956555486870126
dqn,dqn_full_best.pt,50x10_50x10x3,17474,29.78453869943276,576,500,6029,0,0.8933054396462937,0.9963803922185689
dqn,dqn_full_best.pt,100x10_100x10x3,34038,76.59646466512883,1130,1000,11983,0,0.8913491902168221,0.9974066471853996
