episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-9.705084660582902,2285,62,0.985,
2,10x5_10x5x3,-2.2706498865696387,2056,91,0.970225,0.2557849570453822
3,6x6_6x6x2,-10.898368467507176,2511,71,0.955671625,0.20364540762884517
4,10x5_10x5x3,-3.4568301988494565,2190,101,0.941336550625,0.18465784461338922
5,6x6_6x6x2,-10.021857089015525,2300,78,0.927216502365625,0.15863676622318915
6,10x5_10x5x3,-2.447698298910538,2035,93,0.9133082548301407,0.15582236335162195
7,6x6_6x6x2,-9.801586471078188,2280,68,0.8996086310076885,0.14641327925902956
8,10x5_10x5x3,-2.0834025722543545,1969,84,0.8861145015425732,0.1445551257403124
9,6x6_6x6x2,-9.373387953464277,2231,67,0.8728227840194346,0.1448352456982456
10,10x5_10x5x3,-1.2433761220472186,1975,82,0.8597304422591431,0.14301547744288678
11,6x6_6x6x2,-9.090577319224929,2128,58,0.8468344856252559,0.14365651708995475
12,10x5_10x5x3,-2.344528776620529,2080,98,0.834131968340877,0.137655571103096
13,6x6_6x6x2,-8.485807520864533,2099,64,0.8216199888157638,0.13961275172187015
14,10x5_10x5x3,-2.9466138182135317,2203,118,0.8092956889835273,0.12626524560027202
15,6x6_6x6x2,-9.633149067464498,2282,67,0.7971562536487744,0.13850879330021232
16,10x5_10x5x3,-1.1811244508870775,1923,94,0.7851989098440427,0.13210609154973893
17,6x6_6x6x2,-10.411988171588947,2367,62,0.773420926196382,0.1405768561507425
18,10x5_10x5x3,-1.2663126684965609,1918,84,0.7618196123034363,0.1397081615314597
19,15x5_15x5x2,-0.40350749354403925,3921,102,0.7503923181188847,0.13665528376312816
20,10x10_10x10x4,-3.0732733068777183,2764,178,0.7391364333471014,0.1282237626068043
21,6x6_6x6x2,-9.167336331819813,2230,64,0.7280493868468949,0.13237113773357123
22,10x5_10x5x3,-1.5275319148014155,2082,106,0.7171286460441915,0.12414558344292191
23,15x5_15x5x2,-0.4444069445611969,3955,88,0.7063717163535286,0.12750730837102642
24,10x10_10x10x4,-4.877822087099981,2999,239,0.6957761406082257,0.11799669550731778
25,6x6_6x6x2,-8.750012291348083,2192,64,0.6853394984991023,0.1202159111853689
26,10x5_10x5x3,-2.6122850537875264,2176,93,0.6750594060216157,0.11076191440224648
27,15x5_15x5x2,-0.8672558805246817,4121,95,0.6649335149312915,0.11377761258106482
28,10x10_10x10x4,-4.515423098147719,2858,201,0.6549595122073221,0.11538061851635575
29,6x6_6x6x2,-8.995009530622012,2260,71,0.6451351195242122,0.12316045343456133
30,10x5_10x5x3,-2.337610994740503,1954,86,0.635458092731349,0.1177681325826534
31,15x5_15x5x2,-0.04746281816743414,3944,90,0.6259262213403788,0.11453261743817064
32,10x10_10x10x4,-4.924032859694761,2925,231,0.6165373280202731,0.11225018342956901
33,6x6_6x6x2,-8.554173593143522,2244,64,0.607289268099969,0.1133426059386693
34,10x10_10x10x4,-4.172516464463877,2905,228,0.5981799290784694,0.11256675142794847
35,15x10_15x10x3,-0.18609913818980184,4986,184,0.5892072301422924,0.10959590005728861
36,20x10_20x10x5,6.869677573339514,4263,334,0.580369121690158,0.10159289127215743
37,30x10_30x10x2,7.386317263957158,15960,337,0.5716635848648056,0.10047456339001655
38,30x10_30x10x6,16.878359994744894,5176,434,0.5630886310918335,0.09867840453982353
39,50x10_50x10x3,31.994102360717363,17410,537,0.554642301625456,0.09977279118262232
40,100x10_100x10x3,77.84656759504175,34416,1055,0.5463226671010741,0.09389906423166394
41,6x6_6x6x2,-8.74671198398255,2288,96,0.538127827094558,0.09679392092706014
42,10x5_10x5x3,-2.7034181061621383,2101,111,0.5300559096881396,0.09076400091116493
43,15x5_15x5x2,-0.5306265417501559,3819,93,0.5221050710428176,0.09527551643149827
44,10x10_10x10x4,-3.384735320012198,2651,173,0.5142734949771753,0.09166406384653095
45,15x10_15x10x3,-0.418737019912345,5046,205,0.5065593925525177,0.09182466108351946
46,20x10_20x10x5,7.745699278307811,4190,308,0.4989610016642299,0.08717658877372741
47,30x10_30x10x2,6.759397044152452,16406,353,0.49147658663926647,0.08923161598853767
48,30x10_30x10x6,17.220351960925118,5216,470,0.48410443783967744,0.08691047267057002
49,50x10_50x10x3,31.73273181013527,17326,547,0.47684287127208225,0.09060668949969113
50,100x10_100x10x3,77.32653647207701,35041,1073,0.469690228203001,0.09830321427434682
