algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_pair_curr_best.pt,6x6_6x6x2,3553,-45.64034131015345,457,36,309,0,0.8086818870718628,0.9512007809127775
dqn,dqn_pair_curr_best.pt,10x5_10x5x3,2580,-7.697174030580615,203,50,466,0,0.8469729564524928,0.9670454817745786
dqn,dqn_pair_curr_best.pt,15x5_15x5x2,3655,1.1958550529617082,92,75,844,0,0.8799631726944777,0.9750443778018261
dqn,dqn_pair_curr_best.pt,10x10_10x10x4,4437,-24.08449065075721,439,100,927,0,0.843519136326799,0.9723569005124106
dqn,dqn_pair_curr_best.pt,15x10_15x10x3,5034,-0.014532743826253913,231,150,1673,0,0.8731040110153969,0.9784319709595017
dqn,dqn_pair_curr_best.pt,20x10_20x10x5,4063,7.199163420463268,310,200,2323,0,0.8811553255194152,0.9906692296110133
dqn,dqn_pair_curr_best.pt,30x10_30x10x2,18684,0.25554556322269795,630,300,3604,0,0.8858203586402338,0.9931259370710446
dqn,dqn_pair_curr_best.pt,30x10_30x10x6,5216,18.204241314922115,483,300,3689,0,0.8918122847566823,0.9866846040242423
dqn,dqn_pair_curr_best.pt,50x10_50x10x3,17630,33.220049192117415,568,500,6528,0,0.9023392568719248,0.984939133188823
dqn,dqn_pair_curr_best.pt,100x10_100x10x3,34683,79.85592280269385,1025,1000,12791,0,0.9020529992152276,0.9965298958434003
