episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-9.087493841208232,2213,60,0.985,
2,10x5_10x5x3,-1.6346671922579703,2040,92,0.970225,0.2800714691857929
3,15x5_15x5x2,-0.527791632377637,3983,98,0.955671625,0.22166915116261462
4,10x10_10x10x4,-4.045264239806665,2770,173,0.941336550625,0.15014845770218468
5,15x10_15x10x3,-2.8750088370230173,5236,206,0.927216502365625,0.10692436654120684
6,20x10_20x10x5,5.400969730532943,4361,346,0.9133082548301407,0.09940507017076015
7,30x10_30x10x2,7.863649777852933,15748,334,0.8996086310076885,0.09471630062907935
8,30x10_30x10x6,16.186975982823217,5272,498,0.8861145015425732,0.08935039503499866
9,50x10_50x10x3,31.419173830063592,17354,559,0.8728227840194346,0.10279179774224759
10,100x10_100x10x3,77.03888563876039,33729,1073,0.8597304422591431,0.09231680111959577
11,6x6_6x6x2,-8.961796054583077,2147,66,0.8468344856252559,0.10092584450136531
12,10x5_10x5x3,-2.3616723206494044,2105,103,0.834131968340877,0.09854448865194923
13,15x5_15x5x2,-0.1973290478568217,3891,103,0.8216199888157638,0.09974905714682004
14,10x10_10x10x4,-5.448843282354952,2967,210,0.8092956889835273,0.09815391805954278
15,15x10_15x10x3,-1.4735070495805525,5200,206,0.7971562536487744,0.09727814708836377
16,20x10_20x10x5,6.369800964700632,4315,344,0.7851989098440427,0.09660427749156952
17,30x10_30x10x2,8.095107194902063,16041,354,0.773420926196382,0.09417876988649368
18,30x10_30x10x6,17.04686965895099,5250,483,0.7618196123034363,0.09888056082651019
19,50x10_50x10x3,31.67840906680918,17090,549,0.7503923181188847,0.09969956357963383
20,100x10_100x10x3,77.07156795443333,34202,1097,0.7391364333471014,0.10811443753540516
21,6x6_6x6x2,-12.674110471305447,2624,85,0.7280493868468949,0.1084542527794838
22,10x5_10x5x3,-3.303691884916339,2065,106,0.7171286460441915,0.11313168367124954
23,15x5_15x5x2,-0.595835007852064,3911,99,0.7063717163535286,0.10641357076890541
24,10x10_10x10x4,-4.1833845200251405,2894,217,0.6957761406082257,0.1090180592611432
25,15x10_15x10x3,-0.38426529024079703,5045,197,0.6853394984991023,0.10637962608243608
26,20x10_20x10x5,5.276995830076069,4152,332,0.6750594060216157,0.10724491497501731
27,30x10_30x10x2,7.134277063694273,16135,354,0.6649335149312915,0.10070855041965843
28,30x10_30x10x6,16.931987326101225,5032,423,0.6549595122073221,0.10067742677405477
29,50x10_50x10x3,31.845371156862427,17319,583,0.6451351195242122,0.10924249093979597
30,100x10_100x10x3,78.15910858431091,34162,1044,0.635458092731349,0.10633554546162487
31,6x6_6x6x2,-7.229674430006101,1971,59,0.6259262213403788,0.10197874575348223
32,10x5_10x5x3,-1.979435776276356,1956,106,0.6165373280202731,0.10932410995142078
33,15x5_15x5x2,-0.7157995524675136,3960,96,0.607289268099969,0.10549958310245226
34,10x10_10x10x4,-4.141397671745331,2772,212,0.5981799290784694,0.10373460963368415
35,15x10_15x10x3,-2.4808987682306354,5497,245,0.5892072301422924,0.10592020090669393
36,20x10_20x10x5,6.046193978491187,4335,370,0.580369121690158,0.1024631685577333
37,30x10_30x10x2,7.988632558957466,15863,361,0.5716635848648056,0.10494850292801856
38,30x10_30x10x6,17.029481152079057,5279,507,0.5630886310918335,0.1002687307819724
39,50x10_50x10x3,32.27442471882274,16949,544,0.554642301625456,0.10212732250802219
40,100x10_100x10x3,78.39376244618924,33593,1042,0.5463226671010741,0.10800785649567843
41,6x6_6x6x2,-7.501764909630997,2069,64,0.538127827094558,0.10834104177774861
42,10x5_10x5x3,-2.7364830147344463,2150,125,0.5300559096881396,0.10682923057675361
43,15x5_15x5x2,-1.5266897739394678,4024,101,0.5221050710428176,0.10641935950901249
44,10x10_10x10x4,-3.8815689856785998,2785,202,0.5142734949771753,0.10404340476728975
45,15x10_15x10x3,-0.8705657766418506,5316,256,0.5065593925525177,0.10681740320287644
46,20x10_20x10x5,4.9128332695646835,4254,351,0.4989610016642299,0.10183991966769099
47,30x10_30x10x2,8.921747365334104,15416,344,0.49147658663926647,0.10243721229955555
48,30x10_30x10x6,17.391862083684583,4995,432,0.48410443783967744,0.10643802349455654
49,50x10_50x10x3,31.68755581454088,17007,563,0.47684287127208225,0.10009320294484496
50,100x10_100x10x3,78.06748079260825,33897,1057,0.469690228203001,0.10656432351097464
