algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_per_rs_best.pt,6x6_6x6x2,5359,-16.29955132108524,424,36,257,0,0.7656055080569792,0.951410592404746
dqn,dqn_per_rs_best.pt,10x5_10x5x3,3034,-8.35007555634538,243,50,488,0,0.8436871770853704,0.9824040462733354
dqn,dqn_per_rs_best.pt,15x5_15x5x2,4331,-5.516102719592335,151,75,883,0,0.8756627073674624,0.9760671759601176
dqn,dqn_per_rs_best.pt,10x10_10x10x4,4154,-11.162668027762733,552,100,883,0,0.8257692114027708,0.9808871616144008
dqn,dqn_per_rs_best.pt,15x10_15x10x3,6319,-11.567517028232169,462,150,1654,0,0.8691973408941855,0.9740354782303198
dqn,dqn_per_rs_best.pt,20x10_20x10x5,4205,-1.308370888159064,409,200,2078,0,0.8682906622760568,0.990258723114488
dqn,dqn_per_rs_best.pt,30x10_30x10x2,17479,9.856092622606425,601,300,3677,0,0.8842375384136616,0.9923011253437398
dqn,dqn_per_rs_best.pt,30x10_30x10x6,5544,7.126439245098192,559,300,3398,0,0.8813527482436185,0.9857136000035545
dqn,dqn_per_rs_best.pt,50x10_50x10x3,16458,31.394838945462233,562,500,6319,0,0.8920340403286559,0.9975783455090419
dqn,dqn_per_rs_best.pt,100x10_100x10x3,33560,78.63197015605093,1061,1000,12772,0,0.8983157914134194,0.9942853835893306
