episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-9.800748985072847,2272,68,0.985,0.05709694278844194
2,10x5_10x5x3,-1.7663942410106035,1963,82,0.970225,0.0861992935945348
3,15x5_15x5x2,-0.7621760621051838,4045,97,0.955671625,0.06367227333338604
4,10x10_10x10x4,-4.837097759130377,2792,180,0.941336550625,0.05671371030103829
5,15x10_15x10x3,-1.6111592702508106,5196,187,0.927216502365625,0.039194429059199155
6,20x10_20x10x5,5.658478093378982,4265,315,0.9133082548301407,0.039875914012081924
7,30x10_30x10x2,7.18613466581955,16001,337,0.8996086310076885,0.042342417696490886
8,30x10_30x10x6,16.0454186313954,5102,422,0.8861145015425732,0.045596753573045136
9,50x10_50x10x3,29.84023794292047,17537,594,0.8728227840194346,0.05467898123897612
10,100x10_100x10x3,77.31876838760209,33779,1085,0.8597304422591431,0.06080643168650567
11,6x6_6x6x2,-8.734900944679378,2121,63,0.8468344856252559,0.06376858924825986
12,10x5_10x5x3,-2.4271517937522793,2044,93,0.834131968340877,0.06253071786254964
13,15x5_15x5x2,-0.9441499496893357,4071,96,0.8216199888157638,0.060925972007680684
14,10x10_10x10x4,-4.900217811851771,2984,221,0.8092956889835273,0.061985408775508406
15,15x10_15x10x3,-1.7113567759632373,5195,207,0.7971562536487744,0.05734001513570547
16,20x10_20x10x5,4.821236305142957,4324,328,0.7851989098440427,0.057290382673963906
17,30x10_30x10x2,7.328913499218871,16530,381,0.773420926196382,0.056667755264788865
18,30x10_30x10x6,16.05804189822166,5177,440,0.7618196123034363,0.05623768207151443
19,50x10_50x10x3,30.960243152091998,17222,548,0.7503923181188847,0.05545762701891363
20,100x10_100x10x3,77.04479039428142,33716,1060,0.7391364333471014,0.05558866176754236
21,6x6_6x6x2,-8.884866156559244,2132,65,0.7280493868468949,0.05230381391369379
22,10x5_10x5x3,-2.2781000730884142,2061,99,0.7171286460441915,0.05657674157709786
23,15x5_15x5x2,-1.5126143238727279,4137,104,0.7063717163535286,0.05661053366314333
24,10x10_10x10x4,-5.344693111236504,2879,217,0.6957761406082257,0.05665731803979725
25,15x10_15x10x3,-1.1510688116850951,5261,201,0.6853394984991023,0.05384726787917316
26,20x10_20x10x5,6.553128204539332,4010,257,0.6750594060216157,0.05428610370494425
27,30x10_30x10x2,7.393459901763661,15810,341,0.6649335149312915,0.051405532713979483
28,30x10_30x10x6,16.608444721253292,5334,477,0.6549595122073221,0.052582222381606696
29,50x10_50x10x3,31.602941771919788,17125,554,0.6451351195242122,0.053442511497996746
30,100x10_100x10x3,76.71482701908855,33712,1088,0.635458092731349,0.05043656023684889
31,6x6_6x6x2,-8.95252445212806,2133,57,0.6259262213403788,0.05268612977836216
32,10x5_10x5x3,-2.739762604279456,2066,98,0.6165373280202731,0.055040251159546326
33,15x5_15x5x2,-0.12628864804454465,3928,99,0.607289268099969,0.05298528521124161
34,10x10_10x10x4,-4.30855866668111,2761,173,0.5981799290784694,0.054972510747180854
35,15x10_15x10x3,-0.922068217205056,5228,226,0.5892072301422924,0.05252922569401562
36,20x10_20x10x5,7.322780077765582,4113,314,0.580369121690158,0.052605172274634245
37,30x10_30x10x2,5.41866011763827,17127,460,0.5716635848648056,0.05291313505731523
38,30x10_30x10x6,16.674588071154503,5254,481,0.5630886310918335,0.05316496959887445
39,50x10_50x10x3,29.403608694035192,17159,573,0.554642301625456,0.05208589613437652
40,100x10_100x10x3,78.31954981859298,33354,1052,0.5463226671010741,0.05273084854707122
41,6x6_6x6x2,-9.391097864985447,2290,80,0.538127827094558,0.053130199457518755
42,10x5_10x5x3,-0.01109424611327281,1789,84,0.5300559096881396,0.05401991917529986
43,15x5_15x5x2,-1.6346028055247985,4384,132,0.5221050710428176,0.053360325947516794
44,10x10_10x10x4,-2.272413523488541,2706,185,0.5142734949771753,0.04996266265374583
45,15x10_15x10x3,-0.6771906933104055,5400,243,0.5065593925525177,0.051461719973012805
46,20x10_20x10x5,7.476303809727058,4410,364,0.4989610016642299,0.05215690441429615
47,30x10_30x10x2,7.996627620606208,15948,362,0.49147658663926647,0.05128940373659134
48,30x10_30x10x6,18.522306346099125,5091,412,0.48410443783967744,0.050003383215516804
49,50x10_50x10x3,31.69866346378557,16836,547,0.47684287127208225,0.04800365743227303
50,100x10_100x10x3,78.44533584076825,33673,1048,0.469690228203001,0.048378403577953574
