algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_scaleinv_best.pt,6x6_6x6x2,4702,-28.88711059978685,363,36,308,0,0.8037109760241656,0.9907457631812104
dqn,dqn_scaleinv_best.pt,10x5_10x5x3,2916,-8.782265834943644,236,50,421,0,0.838551595794009,0.9905188344495064
dqn,dqn_scaleinv_best.pt,15x5_15x5x2,4046,-0.7790112119210895,124,75,832,0,0.879955302438633,0.979044662788594
dqn,dqn_scaleinv_best.pt,10x10_10x10x4,3451,-9.659176541674974,360,100,1033,0,0.852404299972006,0.973196136954476
dqn,dqn_scaleinv_best.pt,15x10_15x10x3,5651,-5.516100050860382,285,150,1684,0,0.8748362496979994,0.9916347554607206
dqn,dqn_scaleinv_best.pt,20x10_20x10x5,4544,6.665320083047005,467,200,2166,0,0.8669297664020408,0.9915746993299017
dqn,dqn_scaleinv_best.pt,30x10_30x10x2,17474,3.3895259235829074,489,300,3568,0,0.8867335916137555,0.9909619177378522
dqn,dqn_scaleinv_best.pt,30x10_30x10x6,5252,16.975314129936077,545,300,3279,0,0.8750912023133172,0.9946944258024002
dqn,dqn_scaleinv_best.pt,50x10_50x10x3,16830,31.85953961796583,550,500,6128,0,0.8929285484954552,0.9974567727484716
dqn,dqn_scaleinv_best.pt,100x10_100x10x3,33316,79.78741060771165,1033,1000,12259,0,0.8937728584265435,0.9968719505735181
