algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_scaleinv_no_per_best.pt,6x6_6x6x2,3757,-29.02939690850952,350,36,312,0,0.8286393046199466,0.9656220367995083
dqn,dqn_scaleinv_no_per_best.pt,10x5_10x5x3,2031,-1.1037812822882374,127,50,493,0,0.8424912886551355,0.9755491048786202
dqn,dqn_scaleinv_no_per_best.pt,15x5_15x5x2,4468,-3.5645726528623323,162,75,819,0,0.8690143767424633,0.9894588534035622
dqn,dqn_scaleinv_no_per_best.pt,10x10_10x10x4,3853,-18.440223996401475,418,100,1023,0,0.8554392758180464,0.9931073898489446
dqn,dqn_scaleinv_no_per_best.pt,15x10_15x10x3,5218,-4.473446855455645,277,150,1682,0,0.8697246861491349,0.9832912956066604
dqn,dqn_scaleinv_no_per_best.pt,20x10_20x10x5,4664,-1.24870482499115,471,200,2010,0,0.851287232709543,0.9930387954885092
dqn,dqn_scaleinv_no_per_best.pt,30x10_30x10x2,15897,8.072062769581024,353,300,3650,0,0.892508403561297,0.9950945421066425
dqn,dqn_scaleinv_no_per_best.pt,30x10_30x10x6,4944,21.017142689160213,434,300,3192,0,0.8697752907570756,0.9926942516797383
dqn,dqn_scaleinv_no_per_best.pt,50x10_50x10x3,17110,32.15529196379966,568,500,6232,0,0.8921144628051471,0.9975688283928007
dqn,dqn_scaleinv_no_per_best.pt,100x10_100x10x3,34991,70.79707262342149,1171,1000,12436,0,0.8944151353064832,0.9972438901860898
