episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-12.363449653219764,2111,58,0.985,
2,10x5_10x5x3,-7.947430710394456,1966,92,0.970225,0.33798394870498905
3,15x5_15x5x2,-10.731757660168896,4119,104,0.955671625,0.16859345589406216
4,10x10_10x10x4,-11.635077282329389,2843,209,0.941336550625,0.17409402653574943
5,15x10_15x10x3,-14.276052903218957,5202,204,0.927216502365625,0.12166372889652849
6,20x10_20x10x5,-10.152994742635109,4264,312,0.9133082548301407,0.08866800414398313
7,30x10_30x10x2,-19.38213449402428,15853,338,0.8996086310076885,0.07175233447924256
8,30x10_30x10x6,-9.057623700893824,5309,460,0.8861145015425732,0.05496285574510693
9,50x10_50x10x3,-14.395445670022706,17427,564,0.8728227840194346,0.043403429784812035
10,100x10_100x10x3,-14.573960954486243,34155,1133,0.8597304422591431,0.03300235122442245
11,6x6_6x6x2,-13.029763252543074,2252,78,0.8468344856252559,0.04678479140290083
12,10x5_10x5x3,-8.643343026391806,2140,94,0.834131968340877,0.050375079577590555
13,15x5_15x5x2,-10.582594303704056,3924,111,0.8216199888157638,0.04994757528005688
14,10x10_10x10x4,-11.341927976822431,2752,198,0.8092956889835273,0.05177535566341395
15,15x10_15x10x3,-13.85005790184126,5091,221,0.7971562536487744,0.05196071954444051
16,20x10_20x10x5,-10.140882864120623,4286,326,0.7851989098440427,0.0522368834912777
17,30x10_30x10x2,-19.475138224588704,16006,337,0.773420926196382,0.049734663171693685
18,30x10_30x10x6,-8.957889715195652,5305,535,0.7618196123034363,0.049069071309641006
19,50x10_50x10x3,-14.31190941708391,17607,598,0.7503923181188847,0.04398438489995897
20,100x10_100x10x3,-14.547853207740701,33970,1049,0.7391364333471014,0.038977145813405514
21,6x6_6x6x2,-13.289116978302713,2282,72,0.7280493868468949,0.044131831654037036
22,10x5_10x5x3,-8.260722237949372,2074,103,0.7171286460441915,0.042990849724093685
23,15x5_15x5x2,-10.443079019913121,3958,114,0.7063717163535286,0.048019751824699995
24,10x10_10x10x4,-12.011063063875632,3016,255,0.6957761406082257,0.04949898737482727
25,15x10_15x10x3,-14.16041237472456,5228,214,0.6853394984991023,0.049663970237597825
26,20x10_20x10x5,-10.190290872776567,4394,391,0.6750594060216157,0.047335917400196194
27,30x10_30x10x2,-19.61153265620001,16212,359,0.6649335149312915,0.04789800012484193
28,30x10_30x10x6,-8.643470630415969,4965,404,0.6549595122073221,0.04665946200024337
29,50x10_50x10x3,-14.12312105861722,17223,582,0.6451351195242122,0.04297947502695024
30,100x10_100x10x3,-14.49495520666014,33890,1072,0.635458092731349,0.040559769002720715
31,6x6_6x6x2,-13.82392878661282,2569,104,0.6259262213403788,0.04523793314225399
32,10x5_10x5x3,-8.282795370594755,2139,108,0.6165373280202731,0.04488023161819136
33,15x5_15x5x2,-10.188401479079829,3853,103,0.607289268099969,0.04599110599498726
34,10x10_10x10x4,-11.337976808316478,2850,233,0.5981799290784694,0.04676345193758607
35,15x10_15x10x3,-14.530912448385328,5433,252,0.5892072301422924,0.04759396750479936
36,20x10_20x10x5,-10.227941986671205,4369,376,0.580369121690158,0.04680253748781979
37,30x10_30x10x2,-18.868647911953552,15502,322,0.5716635848648056,0.044538975842297074
38,30x10_30x10x6,-8.74358104859677,5156,485,0.5630886310918335,0.043579471902921794
39,50x10_50x10x3,-14.1487610329501,17100,534,0.554642301625456,0.04287622730247676
40,100x10_100x10x3,-14.663345125524277,34507,1120,0.5463226671010741,0.04044032633304596
41,6x6_6x6x2,-12.595231340340282,2221,73,0.538127827094558,0.04380320456542381
42,10x5_10x5x3,-8.327099211685695,2107,98,0.5300559096881396,0.03958329225757292
43,15x5_15x5x2,-11.649172111964521,4470,127,0.5221050710428176,0.04552016157920905
44,10x10_10x10x4,-11.711008426105261,2906,227,0.5142734949771753,0.04292608014773577
45,15x10_15x10x3,-13.920244765046114,5146,216,0.5065593925525177,0.044154898785054686
46,20x10_20x10x5,-9.928733737287295,4162,317,0.4989610016642299,0.044419588493183254
47,30x10_30x10x2,-19.049239575049715,15934,352,0.49147658663926647,0.044095942368730906
48,30x10_30x10x6,-8.733814702803926,5161,474,0.48410443783967744,0.04381621486041695
49,50x10_50x10x3,-14.229847471427718,17640,663,0.47684287127208225,0.04175508861429989
50,100x10_100x10x3,-14.70688159303889,34621,1129,0.469690228203001,0.04081343225203454
