algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
dqn,dqn_vanilla_best.pt,6x6_6x6x2,7921,-33.0448943562098,687,36,208,0,0.7641212831785094,0.9531123098683731
dqn,dqn_vanilla_best.pt,10x5_10x5x3,5145,-23.094280772814184,573,50,399,0,0.7942832650048159,0.9738885961199613
dqn,dqn_vanilla_best.pt,15x5_15x5x2,5326,-6.617032421864251,214,75,836,0,0.8684408907135405,0.9831318497408699
dqn,dqn_vanilla_best.pt,10x10_10x10x4,7091,-28.983424553764486,1183,100,778,0,0.8043582460568445,0.9860797291566173
dqn,dqn_vanilla_best.pt,15x10_15x10x3,10373,-30.081635202476697,981,150,1436,0,0.8396765810927231,0.9909863942031328
dqn,dqn_vanilla_best.pt,20x10_20x10x5,5092,-5.990283019690818,715,200,1952,0,0.8447542249808913,0.9881715970099094
dqn,dqn_vanilla_best.pt,30x10_30x10x2,19643,-6.589465780444741,555,300,3651,0,0.8911287872815091,0.9973460376209621
dqn,dqn_vanilla_best.pt,30x10_30x10x6,5624,10.067825395816051,764,300,3427,0,0.871470582329667,0.9894982584157231
dqn,dqn_vanilla_best.pt,50x10_50x10x3,17480,29.461967297014358,631,500,6407,0,0.8937110943938638,0.9973360538962899
dqn,dqn_vanilla_best.pt,100x10_100x10x3,36106,63.53197943213294,1220,1000,12771,0,0.9011826197039148,0.9906014562357148
