episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-9.400752158358696,2250,64
2,10x5_10x5x3,-2.568936347199511,2004,85
3,6x6_6x6x2,-9.780475759358367,2292,60
4,10x5_10x5x3,-4.721485347794882,2344,117
5,6x6_6x6x2,-8.878371273454379,2069,73
6,10x5_10x5x3,-2.0444490386502587,1920,77
7,6x6_6x6x2,-8.894618828819329,2143,56
8,10x5_10x5x3,-3.750589072734578,2171,98
9,6x6_6x6x2,-9.811715795397065,2342,59
10,10x5_10x5x3,-2.595234080885066,2013,85
11,6x6_6x6x2,-9.704060027928415,2283,56
12,10x5_10x5x3,-1.4763327087002587,2094,87
13,6x6_6x6x2,-9.926490677886363,2431,66
14,10x5_10x5x3,-1.8008839327728619,1981,96
15,6x6_6x6x2,-8.707613096466819,2067,49
16,10x5_10x5x3,-2.7121351652175494,2017,82
17,6x6_6x6x2,-8.709701943149707,2184,60
18,10x5_10x5x3,-0.07077530697116896,1753,74
19,15x5_15x5x2,-1.0640702377778712,4244,109
20,10x10_10x10x4,-4.390537662862609,2725,160
21,6x6_6x6x2,-10.66197826794202,2535,89
22,10x5_10x5x3,-2.5889559626022787,2261,128
23,15x5_15x5x2,-2.1384891598473783,4723,172
24,10x10_10x10x4,-6.671635312648414,3413,339
25,6x6_6x6x2,-12.411659515861786,2950,141
26,10x5_10x5x3,-5.804087827524329,2986,260
27,15x5_15x5x2,-0.4249409135909472,4198,145
28,10x10_10x10x4,-5.107543924774422,3018,264
29,6x6_6x6x2,-9.295141828239741,2251,60
30,10x5_10x5x3,-1.8727732115212077,2134,124
31,15x5_15x5x2,-0.08705722331917953,3856,97
32,10x10_10x10x4,-3.2654796822459318,2999,223
33,6x6_6x6x2,-8.441785976660544,2305,74
34,10x10_10x10x4,-3.298109952932784,3044,222
35,15x10_15x10x3,-1.1626167422955673,5201,187
36,20x10_20x10x5,6.6054929607120805,4471,372
37,30x10_30x10x2,7.0578848096898685,15993,366
38,30x10_30x10x6,15.488509512287422,5517,567
39,50x10_50x10x3,30.65880512684057,17439,583
40,100x10_100x10x3,76.28557030162453,34445,1154
41,6x6_6x6x2,-8.517322621936243,2181,64
42,10x5_10x5x3,-2.349133411364696,2194,105
43,15x5_15x5x2,-2.490598773428937,4440,148
44,10x10_10x10x4,-7.419051899683397,3104,272
45,15x10_15x10x3,-1.7442948676225651,5398,248
46,20x10_20x10x5,6.231729367862981,4322,323
47,30x10_30x10x2,7.332423544553897,16229,369
48,30x10_30x10x6,16.170860537807012,5432,511
49,50x10_50x10x3,32.479008100972585,17467,588
50,100x10_100x10x3,78.19793234632053,34261,1138
