episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-9.364312110429122,2311,67
2,10x5_10x5x3,-2.9329964788887106,2127,93
3,6x6_6x6x2,-9.602363844242445,2377,65
4,10x5_10x5x3,-1.6850945282694738,1900,76
5,6x6_6x6x2,-10.46773314348368,2421,91
6,10x5_10x5x3,-3.9408098274968024,2140,104
7,6x6_6x6x2,-10.581452861538816,2247,60
8,10x5_10x5x3,-2.576762078884123,2142,100
9,6x6_6x6x2,-12.184718519906818,2601,81
10,10x5_10x5x3,-2.1634297261791957,1961,94
11,6x6_6x6x2,-9.887959660549418,2310,67
12,10x5_10x5x3,-2.0881134562662633,2063,92
13,6x6_6x6x2,-7.58871615416982,1974,51
14,10x5_10x5x3,-3.503824464114965,2279,111
15,6x6_6x6x2,-12.142191107967706,2774,76
16,10x5_10x5x3,-4.149301251364227,2256,110
17,6x6_6x6x2,-10.573073458158257,2349,59
18,10x5_10x5x3,-3.2253641705570932,2151,89
19,6x6_6x6x2,-8.02233399570602,2068,56
20,10x5_10x5x3,-3.4221888565079004,2060,87
21,6x6_6x6x2,-8.789156492501931,2223,56
22,10x5_10x5x3,-3.004231356671978,2136,98
23,6x6_6x6x2,-8.568970979185805,2155,63
24,10x5_10x5x3,-3.217547817151212,2154,100
25,6x6_6x6x2,-10.973623452869978,2476,55
26,10x5_10x5x3,-1.501046180774597,2121,108
27,6x6_6x6x2,-8.49002434661135,2018,51
28,10x5_10x5x3,-1.3591604762683778,1979,72
29,6x6_6x6x2,-9.294891029248573,2206,55
30,10x5_10x5x3,-1.3862456930459737,2082,84
31,6x6_6x6x2,-8.438887634501643,2062,47
32,10x5_10x5x3,-2.640135367676593,2063,98
33,6x6_6x6x2,-10.97695275488414,2366,70
34,10x5_10x5x3,-3.215888801714271,2013,98
35,6x6_6x6x2,-10.78691003966717,2504,74
36,10x5_10x5x3,-2.2144783920303643,2102,88
37,6x6_6x6x2,-12.257461854583271,2677,71
38,10x5_10x5x3,-2.1127096936284553,2153,97
39,6x6_6x6x2,-8.466452155286056,2071,53
40,10x5_10x5x3,-0.30378659277748876,1862,78
41,6x6_6x6x2,-7.759293052763743,2044,48
42,10x5_10x5x3,-2.0242296345632043,2024,95
43,6x6_6x6x2,-7.870541726007188,2048,57
44,10x5_10x5x3,-3.246575088078473,2184,119
45,6x6_6x6x2,-10.132082021374702,2369,73
46,10x5_10x5x3,-0.8950372322340379,1974,96
47,6x6_6x6x2,-9.006902634242067,2207,59
48,10x5_10x5x3,-1.49178537561246,2054,112
49,6x6_6x6x2,-9.601175688500607,2325,67
50,10x5_10x5x3,-1.6166222528444987,2025,93
51,15x5_15x5x2,-0.28484575342300733,3931,109
52,10x10_10x10x4,-3.176571959366664,2895,216
53,6x6_6x6x2,-7.099983408404883,1953,51
54,10x5_10x5x3,-0.9385001666446304,2070,110
55,15x5_15x5x2,-0.20609267462311331,4073,110
56,10x10_10x10x4,-4.577615593381919,3009,251
57,6x6_6x6x2,-8.77810428991512,2281,71
58,10x5_10x5x3,-2.881640960826182,2395,132
59,15x5_15x5x2,-1.824424448672157,4303,112
