algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_full_norn_150_best.pt,6x6_6x6x2,4068,-12.440119462495709,274,36,341,0,0.8111966991245192,0.9722660583465647
ppo,ppo_full_norn_150_best.pt,10x5_10x5x3,1928,-0.5796189295063754,86,50,561,0,0.8815667215174825,0.9948269798932484
ppo,ppo_full_norn_150_best.pt,15x5_15x5x2,7245,-3.1631349953055437,464,75,673,0,0.8329994216956136,0.9914049184273326
ppo,ppo_full_norn_150_best.pt,10x10_10x10x4,4614,-6.324893061496963,572,100,936,0,0.8406447655161537,0.9930022090471443
ppo,ppo_full_norn_150_best.pt,15x10_15x10x3,11806,-10.060099349037191,1266,150,1305,0,0.8272060489634572,0.9932820837632855
ppo,ppo_full_norn_150_best.pt,20x10_20x10x5,5833,6.2671931299637755,720,200,2141,0,0.8645339919531597,0.9924805452922826
ppo,ppo_full_norn_150_best.pt,30x10_30x10x2,47386,-4.082231039908054,3685,300,2340,0,0.8023920432600822,0.9945785945465093
ppo,ppo_full_norn_150_best.pt,30x10_30x10x6,6366,14.68050866027584,812,300,3329,0,0.8711643941768591,0.9940915237703415
ppo,ppo_full_norn_150_best.pt,50x10_50x10x3,39812,19.89809145144907,4151,500,4532,0,0.8293393473600527,0.997244324618025
ppo,ppo_full_norn_150_best.pt,100x10_100x10x3,79816,54.029031027566155,8539,1000,8823,0,0.8246024916424458,0.9990352808425155
