episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-10.627336935320086,2438,59
2,10x5_10x5x3,-1.646987775818121,1943,84
3,6x6_6x6x2,-9.38016312267414,2074,59
4,10x5_10x5x3,-3.7987147479565415,2173,107
5,6x6_6x6x2,-9.764389796306261,2387,66
6,10x5_10x5x3,-3.0733012924359357,2447,135
7,6x6_6x6x2,-10.76224868370411,2443,78
8,10x5_10x5x3,-2.5365332778763685,2153,121
9,6x6_6x6x2,-10.579529619945552,2400,72
10,10x5_10x5x3,-1.0132007671353644,1906,78
11,6x6_6x6x2,-9.434849437159949,2233,79
12,10x5_10x5x3,-3.5898236696494865,2217,110
13,6x6_6x6x2,-9.732107868387969,2187,59
14,10x5_10x5x3,-1.243287020739419,1997,91
15,6x6_6x6x2,-9.109024871949943,2112,61
16,10x5_10x5x3,-3.445468930413951,2066,91
17,6x6_6x6x2,-8.168761935062735,1990,48
18,10x5_10x5x3,-1.8792319645913058,1951,78
19,15x5_15x5x2,-1.3430496800485137,4158,97
20,10x10_10x10x4,-3.2824930254606772,2774,178
21,6x6_6x6x2,-8.086738254278877,2030,55
22,10x5_10x5x3,-1.8237860845339644,2006,100
23,15x5_15x5x2,-0.7598634841598992,4127,99
24,10x10_10x10x4,-3.231209525892086,2735,188
25,6x6_6x6x2,-7.828722906219976,2031,60
26,10x5_10x5x3,-2.086325187820611,2081,107
27,15x5_15x5x2,-0.260367448623116,4122,107
28,10x10_10x10x4,-2.8607681657146884,2713,164
29,6x6_6x6x2,-9.138670766846626,2269,61
30,10x5_10x5x3,-2.121364753022502,2275,126
31,15x5_15x5x2,-0.2234601345077214,3914,100
32,10x10_10x10x4,-2.9437032512853136,2834,222
33,6x6_6x6x2,-7.6892531375039415,1993,60
34,10x10_10x10x4,-2.9731388922904345,2796,190
35,15x10_15x10x3,-0.6764602260586488,5107,194
36,20x10_20x10x5,8.561818146369205,4261,324
37,30x10_30x10x2,8.471812344615433,15793,319
38,30x10_30x10x6,16.224253933158497,5487,607
39,50x10_50x10x3,31.95535905233337,17501,598
40,100x10_100x10x3,78.64446917778623,34657,1247
41,6x6_6x6x2,-9.095054989432102,2562,103
42,10x5_10x5x3,-3.5214021370465396,2786,220
43,15x5_15x5x2,-3.4556243564218674,5481,257
44,10x10_10x10x4,-6.238670970096606,3921,440
45,15x10_15x10x3,-3.2693726178150904,6665,443
46,20x10_20x10x5,7.6639942484183585,5269,624
47,30x10_30x10x2,8.768383983679715,16669,473
48,30x10_30x10x6,20.33958517311592,6205,840
49,50x10_50x10x3,33.102216057564455,18363,788
50,100x10_100x10x3,80.08808518751881,34747,1305
