algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_rs_curr_best.pt,6x6_6x6x2,8694,-23.17774020164575,758,36,223,0,0.7292582832856888,0.9472518119839411
ppo,ppo_rs_curr_best.pt,10x5_10x5x3,7999,-9.652679767838343,1058,50,233,0,0.740920168033346,0.9017274079156191
ppo,ppo_rs_curr_best.pt,15x5_15x5x2,17777,-14.118652093740575,1582,75,300,0,0.7169271880712669,0.9301132568588565
ppo,ppo_rs_curr_best.pt,10x10_10x10x4,11826,-15.489399237023942,2115,100,365,0,0.713848857440527,0.9262037607830524
ppo,ppo_rs_curr_best.pt,15x10_15x10x3,23675,-17.760617046064727,3162,150,556,0,0.7162464923585211,0.9569210470933238
ppo,ppo_rs_curr_best.pt,20x10_20x10x5,18802,-1.8539521608841572,4214,200,778,0,0.7044469755659726,0.9465821904426386
ppo,ppo_rs_curr_best.pt,30x10_30x10x2,71868,-12.611479640568957,6305,300,1493,0,0.7391582354561341,0.9492531377456946
ppo,ppo_rs_curr_best.pt,30x10_30x10x6,23400,13.317177478707162,6334,300,862,0,0.6970076881132304,0.9192137573345301
ppo,ppo_rs_curr_best.pt,50x10_50x10x3,79230,22.124476680154334,10505,500,2179,0,0.7297931841252121,0.9502129318567731
ppo,ppo_rs_curr_best.pt,100x10_100x10x3,157432,81.56877004319023,21006,1000,3896,0,0.7172334687037458,0.9675123930699578
