episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-10.757446170219527,2411,65
2,10x5_10x5x3,-0.8059913188750517,1892,99
3,6x6_6x6x2,-7.804453155150093,2017,51
4,10x5_10x5x3,-1.4436959644433958,1880,78
5,6x6_6x6x2,-8.516528278047268,2037,54
6,10x5_10x5x3,-1.4033894298515603,1936,77
7,6x6_6x6x2,-6.898583912800893,1928,54
8,10x5_10x5x3,-1.074020890962588,1975,81
9,6x6_6x6x2,-7.931230290544553,2044,60
10,10x5_10x5x3,-1.0868124825768213,1896,80
11,6x6_6x6x2,-7.766318885813984,1967,47
12,10x5_10x5x3,-0.6857430181042237,1808,66
13,6x6_6x6x2,-8.544043244972595,2134,53
14,10x5_10x5x3,-1.9250857046915257,1969,83
15,6x6_6x6x2,-8.50459988758709,2056,53
16,10x5_10x5x3,-2.0608565089527033,2070,84
17,6x6_6x6x2,-9.729625346825774,2446,73
18,10x5_10x5x3,-1.492482960848481,2015,90
19,15x5_15x5x2,0.1698580052732508,3934,106
20,10x10_10x10x4,-4.022462368395287,2775,169
21,6x6_6x6x2,-10.520202736436175,2287,62
22,10x5_10x5x3,-1.791115350549323,1989,108
23,15x5_15x5x2,-1.895442387416625,4252,114
24,10x10_10x10x4,-7.393383072869734,2960,198
25,6x6_6x6x2,-14.160360390748709,2914,105
26,10x5_10x5x3,-2.0242334854186415,2085,87
27,15x5_15x5x2,-3.4339427296884932,4500,118
28,10x10_10x10x4,-4.075932249628935,2664,164
29,6x6_6x6x2,-8.787529894969571,2129,49
30,10x5_10x5x3,-2.7105204569015826,2118,96
31,15x5_15x5x2,-0.7783462956331939,4088,104
32,10x10_10x10x4,-5.679205338966138,2998,199
33,6x6_6x6x2,-10.14195901400321,2445,70
34,10x10_10x10x4,-4.953398337143616,2841,190
35,15x10_15x10x3,-3.201981989583744,5315,229
36,20x10_20x10x5,4.369595995799409,4420,384
37,30x10_30x10x2,7.7039066122121245,15920,332
38,30x10_30x10x6,11.349783588393246,5855,727
39,50x10_50x10x3,29.14947971710933,17611,631
40,100x10_100x10x3,76.98175398394935,33989,1107
41,6x6_6x6x2,-8.995385420725183,2283,89
42,10x5_10x5x3,-2.092541124801076,2301,155
43,15x5_15x5x2,-2.250733036631268,4742,163
44,10x10_10x10x4,-4.3867127356586035,3271,273
45,15x10_15x10x3,-2.8340133941808734,5761,294
46,20x10_20x10x5,5.751953084768437,4740,490
47,30x10_30x10x2,6.83387819170531,16512,386
48,30x10_30x10x6,18.492164909149597,5500,565
49,50x10_50x10x3,30.80596233786973,17659,586
50,100x10_100x10x3,79.77340536051292,33523,1120
