episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-14.284987387319154,2522,78
2,10x5_10x5x3,-8.47490876557648,2149,100
3,15x5_15x5x2,-10.959771800451284,4161,106
4,10x10_10x10x4,-12.14764189121674,3083,275
5,15x10_15x10x3,-14.624732710416867,5515,269
6,20x10_20x10x5,-10.428902740908864,4775,546
7,30x10_30x10x2,-20.331064238401574,16944,402
8,30x10_30x10x6,-9.48291571058934,6121,836
9,50x10_50x10x3,-14.652340408229058,18143,730
10,100x10_100x10x3,-14.613257249786566,34304,1147
11,6x6_6x6x2,-14.492881253043192,2803,96
12,10x5_10x5x3,-9.275272936558276,2428,139
13,15x5_15x5x2,-11.659488858617209,4571,132
14,10x10_10x10x4,-13.195006918992277,3358,311
15,15x10_15x10x3,-15.933355264480308,6025,287
16,20x10_20x10x5,-11.050807607402215,4840,499
17,30x10_30x10x2,-20.170482137331827,16754,388
18,30x10_30x10x6,-9.617777034988148,6008,826
19,50x10_50x10x3,-15.049490575418712,18605,758
20,100x10_100x10x3,-14.865674547112771,35203,1284
21,6x6_6x6x2,-14.991462779577635,2920,134
22,10x5_10x5x3,-9.730528641689244,2678,186
23,15x5_15x5x2,-11.185757589286908,4617,176
24,10x10_10x10x4,-12.822847556656617,3466,377
25,15x10_15x10x3,-14.539473998140945,5526,281
26,20x10_20x10x5,-10.378128874742968,4647,506
27,30x10_30x10x2,-20.544043243232153,17544,479
28,30x10_30x10x6,-9.583556176763748,6302,924
29,50x10_50x10x3,-14.825614380162415,18889,918
30,100x10_100x10x3,-14.815025666811435,35677,1470
31,6x6_6x6x2,-16.771265496064604,3611,201
32,10x5_10x5x3,-11.218873148522045,3523,331
33,15x5_15x5x2,-12.206612990470273,5315,259
34,10x10_10x10x4,-14.098426569169325,4117,503
35,15x10_15x10x3,-17.57176324152499,7657,592
36,20x10_20x10x5,-12.964433913058656,7160,1160
37,30x10_30x10x2,-20.82066374170292,18355,585
38,30x10_30x10x6,-10.782703294453203,7822,1501
39,50x10_50x10x3,-15.436841444033263,21162,1355
40,100x10_100x10x3,-15.592492526201134,41373,2644
41,6x6_6x6x2,-16.048454658789346,3569,193
42,10x5_10x5x3,-12.473510751867238,4502,488
43,15x5_15x5x2,-12.242430080275453,5623,286
44,10x10_10x10x4,-13.308238064720824,3881,471
45,15x10_15x10x3,-15.704550030372653,6818,504
46,20x10_20x10x5,-11.774753196452899,5957,880
47,30x10_30x10x2,-20.0665074056495,17776,561
48,30x10_30x10x6,-10.29877792793299,7532,1407
49,50x10_50x10x3,-14.643884227003394,18655,878
50,100x10_100x10x3,-14.505841191696005,34918,1393
51,6x6_6x6x2,-14.816732215465684,3087,152
52,10x5_10x5x3,-8.660165792086172,2223,133
53,15x5_15x5x2,-10.92519289583537,4301,140
54,10x10_10x10x4,-12.37831405294298,3217,300
55,15x10_15x10x3,-14.379457035496763,5373,252
56,20x10_20x10x5,-10.3330014179853,4621,466
57,30x10_30x10x2,-19.64525041339376,16243,367
58,30x10_30x10x6,-9.021704106376504,5597,695
59,50x10_50x10x3,-14.733577329528297,18049,682
60,100x10_100x10x3,-14.542669667727589,34376,1212
61,6x6_6x6x2,-13.46854996460023,2758,134
62,10x5_10x5x3,-9.6117654515031,2733,178
63,15x5_15x5x2,-10.98417923635583,4649,182
64,10x10_10x10x4,-12.899823291286147,3473,361
65,15x10_15x10x3,-15.229288853801052,6106,377
66,20x10_20x10x5,-10.760395397284038,5033,624
67,30x10_30x10x2,-19.995974378224982,17078,447
68,30x10_30x10x6,-8.988916160721345,5616,723
69,50x10_50x10x3,-14.30882060361769,17561,655
70,100x10_100x10x3,-14.458244728831698,34015,1169
71,6x6_6x6x2,-12.657459052616264,2449,104
72,10x5_10x5x3,-8.242678957836217,2152,134
73,15x5_15x5x2,-11.133392348217916,4325,136
74,10x10_10x10x4,-11.589422883052062,2995,265
75,15x10_15x10x3,-14.80008577196376,5672,296
76,20x10_20x10x5,-10.766430170962044,4864,573
77,30x10_30x10x2,-19.877878300029884,16904,426
78,30x10_30x10x6,-9.28920365136873,5850,802
79,50x10_50x10x3,-14.844500127815916,18409,749
80,100x10_100x10x3,-14.802650556082515,35123,1278
81,6x6_6x6x2,-17.359231918352826,3407,152
82,10x5_10x5x3,-10.232687917247974,2977,212
83,15x5_15x5x2,-13.466012164128022,5558,188
84,10x10_10x10x4,-13.874615956055502,3765,390
85,15x10_15x10x3,-17.472053604819482,7048,420
86,20x10_20x10x5,-11.017328296882118,4975,576
87,30x10_30x10x2,-21.322554322586516,18213,456
88,30x10_30x10x6,-9.577583782259374,5902,767
89,50x10_50x10x3,-15.588732959579517,19185,723
90,100x10_100x10x3,-15.138311129647512,36087,1348
91,6x6_6x6x2,-16.65910836453089,3226,145
92,10x5_10x5x3,-10.081225341095855,2779,156
93,15x5_15x5x2,-12.853651466543141,5210,165
94,10x10_10x10x4,-12.856706501565805,3271,271
95,15x10_15x10x3,-14.849968041360782,5617,267
96,20x10_20x10x5,-10.178117404685993,4385,399
97,30x10_30x10x2,-20.64662924991419,17323,404
98,30x10_30x10x6,-9.04227237575054,5554,681
99,50x10_50x10x3,-14.490561237769027,17693,608
100,100x10_100x10x3,-14.685542602190418,34405,1160
101,6x6_6x6x2,-14.417411196988303,2587,81
102,10x5_10x5x3,-9.055949480421177,2376,109
103,15x5_15x5x2,-11.107688038688384,4214,112
104,10x10_10x10x4,-12.497711070619564,3202,282
105,15x10_15x10x3,-14.549532122466083,5493,240
106,20x10_20x10x5,-10.21630408438362,4448,407
107,30x10_30x10x2,-20.30725104696005,16847,376
108,30x10_30x10x6,-9.057795730030248,5573,652
109,50x10_50x10x3,-14.971980305726408,18448,717
110,100x10_100x10x3,-14.756181571120525,34730,1202
111,6x6_6x6x2,-14.72012361155537,2906,122
112,10x5_10x5x3,-8.350660280545513,2129,96
113,15x5_15x5x2,-11.595586447155904,4547,124
114,10x10_10x10x4,-11.817055878214074,3009,258
115,15x10_15x10x3,-14.840768060513875,5666,271
116,20x10_20x10x5,-10.355430154990922,4655,436
117,30x10_30x10x2,-20.306281204311343,17214,407
118,30x10_30x10x6,-8.996564190921951,5618,752
119,50x10_50x10x3,-14.731587035791756,18126,691
120,100x10_100x10x3,-14.918941604483297,35486,1271
121,6x6_6x6x2,-15.319919154232748,2924,121
122,10x5_10x5x3,-8.846616328709429,2520,166
123,15x5_15x5x2,-11.246570736075894,4476,136
124,10x10_10x10x4,-13.08702344774126,3484,315
125,15x10_15x10x3,-14.866496929480581,5866,334
126,20x10_20x10x5,-10.40312897452341,4861,616
127,30x10_30x10x2,-20.15607016298017,17224,443
128,30x10_30x10x6,-8.691384543758172,5608,795
129,50x10_50x10x3,-14.570901253196434,18251,757
130,100x10_100x10x3,-14.38297628250994,34025,1217
131,6x6_6x6x2,-13.798492038517171,2582,100
132,10x5_10x5x3,-9.248610329704796,2586,172
133,15x5_15x5x2,-11.224398216128067,4504,168
134,10x10_10x10x4,-12.28908951587189,3253,322
135,15x10_15x10x3,-14.135331251486788,5595,327
136,20x10_20x10x5,-10.714811015452185,5078,680
137,30x10_30x10x2,-20.42416088527444,17487,446
138,30x10_30x10x6,-9.413306290137474,6475,1153
139,50x10_50x10x3,-14.901235768601088,18574,751
140,100x10_100x10x3,-14.575993131003663,34632,1257
141,6x6_6x6x2,-14.850608974551449,3010,145
