algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_scaleinv_150_best.pt,6x6_6x6x2,3203,-60.64695132404211,564,36,344,0,0.8564441262850226,0.9902410242446742
ppo,ppo_scaleinv_150_best.pt,10x5_10x5x3,3445,-47.44742397424238,512,50,537,0,0.8782146133368675,0.9881116800197669
ppo,ppo_scaleinv_150_best.pt,15x5_15x5x2,6121,-88.80588477337065,985,75,756,0,0.8646415102344618,0.9970816842389562
ppo,ppo_scaleinv_150_best.pt,10x10_10x10x4,7684,-161.31127232384912,1621,100,949,0,0.8435743523199717,0.995072191885455
ppo,ppo_scaleinv_150_best.pt,15x10_15x10x3,11664,-226.2055289899543,2363,150,1494,0,0.8527119351425477,0.9838150349427219
ppo,ppo_scaleinv_150_best.pt,20x10_20x10x5,13082,-239.02051497622418,2660,200,2019,0,0.8574973678821115,0.9965886095128101
ppo,ppo_scaleinv_150_best.pt,30x10_30x10x2,27433,-470.53164897358073,5155,300,3095,0,0.8695098600266756,0.9984919863087854
ppo,ppo_scaleinv_150_best.pt,30x10_30x10x6,16784,-311.8467589716433,3599,300,3011,0,0.8516276946586404,0.9971216610018622
ppo,ppo_scaleinv_150_best.pt,50x10_50x10x3,39670,-695.3167671266593,7808,500,5340,0,0.8661526250528209,0.9965806715409772
ppo,ppo_scaleinv_150_best.pt,100x10_100x10x3,78406,-1386.6951395741264,15844,1000,10521,0,0.8627885646662933,0.9973304588061586
