episode,instance,reward,makespan,decisions
1,6x6_6x6x2,-14.298703542962869,2554,73
2,10x5_10x5x3,-8.666658043712896,2152,89
3,15x5_15x5x2,-11.04309284456624,4151,105
4,10x10_10x10x4,-11.263251143857,2741,191
5,15x10_15x10x3,-13.740996376382887,4968,173
6,20x10_20x10x5,-10.03053590964449,4126,267
7,30x10_30x10x2,-19.727003695169376,16051,329
8,30x10_30x10x6,-8.83642251679165,5097,409
9,50x10_50x10x3,-14.563749146138498,17522,557
10,100x10_100x10x3,-14.734899768952607,34485,1108
11,6x6_6x6x2,-12.583772815250024,2276,89
12,10x5_10x5x3,-8.490913076016735,2277,141
13,15x5_15x5x2,-10.944887632992907,4178,118
14,10x10_10x10x4,-11.796871214174018,2988,253
15,15x10_15x10x3,-14.798618373125667,5490,248
16,20x10_20x10x5,-10.156391641251997,4402,392
17,30x10_30x10x2,-19.704748485296957,16133,345
18,30x10_30x10x6,-9.07140471143951,5522,569
19,50x10_50x10x3,-14.473460456782473,17712,623
20,100x10_100x10x3,-14.758106104753505,35160,1254
21,6x6_6x6x2,-14.854251618900658,2894,125
22,10x5_10x5x3,-8.820240131114364,2279,138
23,15x5_15x5x2,-11.460299526879044,4778,172
24,10x10_10x10x4,-12.523672895213076,3304,313
25,15x10_15x10x3,-15.132293548846679,5996,313
26,20x10_20x10x5,-10.473103474126157,4781,532
27,30x10_30x10x2,-19.588902621879267,16417,367
28,30x10_30x10x6,-9.30017796288502,5958,822
29,50x10_50x10x3,-14.634151600846502,18208,714
30,100x10_100x10x3,-14.427794731395373,34306,1237
31,6x6_6x6x2,-14.086710314352436,2994,147
32,10x5_10x5x3,-8.432047574750586,2296,159
33,15x5_15x5x2,-10.887983430791929,4513,164
34,10x10_10x10x4,-11.657909731668598,3132,316
35,15x10_15x10x3,-14.67019394256752,5873,334
36,20x10_20x10x5,-10.11574680297237,4683,516
37,30x10_30x10x2,-19.316272757695444,16486,438
38,30x10_30x10x6,-9.05812225007249,5899,838
39,50x10_50x10x3,-14.261969807419101,18222,820
40,100x10_100x10x3,-14.395980665774912,35033,1469
41,6x6_6x6x2,-15.490282072559852,3210,156
42,10x5_10x5x3,-9.62422050968692,2712,179
43,15x5_15x5x2,-11.711188848059393,4700,144
44,10x10_10x10x4,-12.360888788806275,3242,300
45,15x10_15x10x3,-14.420330696814924,5710,306
46,20x10_20x10x5,-10.514060176035958,4919,613
47,30x10_30x10x2,-19.466093595076167,16582,424
48,30x10_30x10x6,-9.014263678546982,5826,891
49,50x10_50x10x3,-14.44093312726394,17929,705
50,100x10_100x10x3,-14.212948327713702,33897,1308
