algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_vanilla_best.pt,6x6_6x6x2,3827,-34.81515706191543,412,36,326,0,0.8197861204452936,0.9797356482468073
ppo,ppo_vanilla_best.pt,10x5_10x5x3,4688,-63.57997956263238,840,50,500,0,0.8383667728116784,0.9589778929113836
ppo,ppo_vanilla_best.pt,15x5_15x5x2,7924,-87.82690922069787,1173,75,661,0,0.8338205653329779,0.9961540247385978
ppo,ppo_vanilla_best.pt,10x10_10x10x4,6387,-50.95313208713526,1055,100,944,0,0.8326322736625609,0.9948828768277196
ppo,ppo_vanilla_best.pt,15x10_15x10x3,9981,-80.88443737093415,1437,150,1403,0,0.8375502344344365,0.9946494500927444
ppo,ppo_vanilla_best.pt,20x10_20x10x5,10319,-114.49203099383593,2351,200,1595,0,0.8067344405756102,0.9987827948418202
ppo,ppo_vanilla_best.pt,30x10_30x10x2,25778,-158.31970406848464,2738,300,3119,0,0.858638397566148,0.9978797554923341
ppo,ppo_vanilla_best.pt,30x10_30x10x6,14476,-167.1084920288479,3755,300,2303,0,0.8054993273585552,0.9966691298864095
ppo,ppo_vanilla_best.pt,50x10_50x10x3,34643,-250.2787798805801,5045,500,5031,0,0.8459457194460163,0.9954075209209724
ppo,ppo_vanilla_best.pt,100x10_100x10x3,68030,-475.0548721828725,10020,1000,9787,0,0.8426326967797725,0.9976606303020384
