algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
heuristic,rest_aware,6x6_6x6x2,1766,-6.415803394374953,45,36,345,0,0.8547865304724471,0.9802038382973625
heuristic,rest_aware,10x5_10x5x3,1938,-0.31927060113384886,94,50,584,0,0.8702543943648773,0.9926789562600061
heuristic,rest_aware,15x5_15x5x2,3466,1.5461572501523362,94,75,780,0,0.8559400556509089,0.9816976270274551
heuristic,rest_aware,10x10_10x10x4,2394,-0.36870951359614423,142,100,1031,0,0.853250602863701,0.992970829639374
heuristic,rest_aware,15x10_15x10x3,4657,2.04925805696472,198,150,1621,0,0.8565711645269395,0.983978432062695
heuristic,rest_aware,20x10_20x10x5,3484,11.016956792310852,245,200,1960,0,0.8444648060929498,0.9800393239959939
heuristic,rest_aware,30x10_30x10x2,14345,11.921470623525273,354,300,3234,0,0.8699628188677082,0.9944295482416842
heuristic,rest_aware,30x10_30x10x6,4685,21.701045147062473,464,300,3039,0,0.8500837485327676,0.9939859503290798
heuristic,rest_aware,50x10_50x10x3,15520,35.757978330280295,591,500,5651,0,0.8692087230831773,0.9914173147676184
heuristic,rest_aware,100x10_100x10x3,30038,84.26402302387727,1204,1000,10630,0,0.8623996250122982,0.9852239010696319
