episode,instance,reward,makespan,decisions,epsilon,loss,force_rest_time,invalid_actions
1,6x6_6x6x2,-8.491941586044014,2111,58,1.0,,370,0
2,10x5_10x5x3,-1.7215367008228504,1938,90,0.985,0.09348435922422343,578,0
3,6x6_6x6x2,-8.772508844826628,2120,56,0.970225,0.03218647706255849,384,0
4,10x5_10x5x3,-1.5293421522650241,1964,93,0.955671625,0.032122861523862165,571,0
5,6x6_6x6x2,-8.084627715270132,1955,52,0.941336550625,0.029659119685395405,351,0
6,10x5_10x5x3,-2.306560806701553,2045,88,0.927216502365625,0.030585574483583598,575,0
7,6x6_6x6x2,-9.131713236757575,2183,61,0.9133082548301407,0.028315401483388222,352,0
8,10x5_10x5x3,-1.135803368469932,1919,81,0.8996086310076885,0.030541622378851895,530,0
9,6x6_6x6x2,-10.32280360939715,2372,62,0.8861145015425732,0.03767606429755688,384,0
10,10x5_10x5x3,-1.5649390395859173,1978,91,0.8728227840194346,0.0366014187213975,556,0
11,6x6_6x6x2,-8.213148700078145,2038,58,0.8597304422591431,0.038111789152026176,351,0
12,10x5_10x5x3,-1.839271970516563,1920,95,0.8468344856252559,0.040839878097176555,546,0
13,6x6_6x6x2,-9.692467976712518,2302,65,0.834131968340877,0.04257423135523613,360,0
14,10x5_10x5x3,-1.3565573497217462,1919,79,0.8216199888157638,0.0409982911535079,556,0
15,6x6_6x6x2,-8.975683831482424,2151,69,0.8092956889835273,0.046249618159904,337,0
16,10x5_10x5x3,-3.182769056682099,2174,107,0.7971562536487744,0.044008021216804735,537,0
17,6x6_6x6x2,-8.994375048742707,2229,65,0.7851989098440427,0.044622414301221186,348,0
18,10x5_10x5x3,-0.8632756428424576,1900,84,0.773420926196382,0.044110216932105165,550,0
19,6x6_6x6x2,-8.964817042210838,2179,54,0.7618196123034363,0.04447617523234199,343,0
20,10x5_10x5x3,-3.0765803741293496,2307,122,0.7503923181188847,0.04545957190518985,572,0
21,6x6_6x6x2,-10.325960743405213,2335,68,0.7391364333471014,0.04600152232245926,351,0
22,10x5_10x5x3,-2.532945416067954,2036,92,0.7280493868468949,0.04623717377367227,578,0
23,6x6_6x6x2,-10.120952823254587,2276,80,0.7171286460441915,0.04237550757825374,358,0
24,10x5_10x5x3,-2.316389354013316,2002,97,0.7063717163535286,0.044436069243808385,562,0
25,6x6_6x6x2,-7.139859304813532,1967,55,0.6957761406082257,0.043936939402060074,390,0
26,10x5_10x5x3,-2.0847027684564146,2058,81,0.6853394984991023,0.04614098726507322,617,0
27,6x6_6x6x2,-10.108690126583468,2408,82,0.6750594060216157,0.04026273900370409,360,0
28,10x5_10x5x3,-2.1738196717424865,1956,83,0.6649335149312915,0.049661848469671,578,0
29,6x6_6x6x2,-10.08802924627253,2354,93,0.6549595122073221,0.04822017624974251,312,0
30,10x5_10x5x3,-2.368877353144621,2192,113,0.6451351195242122,0.04912493997706776,555,0
