episode,instance,reward,makespan,decisions,loss,force_rest_time,invalid_actions
1,6x6_6x6x2,-10.399165780055533,2363,76,1.4844807952850765,347,0
2,10x5_10x5x3,-2.430902492141439,2063,99,0.32876882431182,519,0
3,6x6_6x6x2,-10.170817890723042,2325,76,0.695720793474098,372,0
4,10x5_10x5x3,-2.3293776980196954,1974,87,0.3595488476888116,559,0
5,6x6_6x6x2,-9.952316629814852,2470,74,0.6053587476836164,340,0
6,10x5_10x5x3,-3.727302894422261,2282,125,0.21785129442065954,502,0
7,6x6_6x6x2,-9.914332086841434,2408,66,0.7376866458675289,365,0
8,10x5_10x5x3,-4.457815766412605,2232,133,0.2889021424930263,513,0
9,6x6_6x6x2,-10.005422506423951,2416,81,0.5776054589623975,331,0
10,10x5_10x5x3,-4.218404085071601,2405,118,0.30211240298241,499,0
11,6x6_6x6x2,-10.675550769778363,2445,81,0.7487937218659086,338,0
12,10x5_10x5x3,-3.182189421950671,2089,95,0.6978792174572223,550,0
13,6x6_6x6x2,-11.764286078209663,2502,86,0.883071725354205,346,0
14,10x5_10x5x3,-2.076063825425415,2030,91,1.3827977519032064,590,0
15,6x6_6x6x2,-8.837778897020643,2124,58,0.8251820813005405,380,0
16,10x5_10x5x3,-2.392421950906437,2142,110,0.5504222179890017,554,0
17,6x6_6x6x2,-10.891373207145865,2601,74,1.6336511499751865,342,0
18,10x5_10x5x3,-2.781890514784007,2172,102,0.9116136006504187,535,0
19,6x6_6x6x2,-10.930061719048263,2392,61,1.541480878520696,348,0
20,10x5_10x5x3,-4.453981661405876,2206,105,0.5318019655710529,540,0
21,6x6_6x6x2,-11.131089950037504,2506,77,0.934688417392166,370,0
22,10x5_10x5x3,-3.9604925754020854,2189,123,0.4289011523862014,529,0
23,6x6_6x6x2,-9.549080333873299,2319,67,0.5092272185651001,326,0
24,10x5_10x5x3,-2.553790148926154,2122,98,0.6307430784122979,553,0
25,6x6_6x6x2,-10.407105345848386,2344,67,1.123039480364784,378,0
26,10x5_10x5x3,-4.386883340728391,2234,103,0.45436486417373406,569,0
27,6x6_6x6x2,-11.976011510445272,2579,82,1.004828219148671,335,0
28,10x5_10x5x3,-3.741749363244052,2282,111,0.8077248242549464,584,0
29,6x6_6x6x2,-8.599696605268253,2175,54,0.5724268404559958,349,0
30,10x5_10x5x3,-3.09737120144798,2091,98,0.3495738892625941,546,0
31,6x6_6x6x2,-8.49506961233347,2085,66,0.3975909462438501,350,0
32,10x5_10x5x3,-3.958354134692203,2182,107,0.19041192674330462,544,0
33,6x6_6x6x2,-9.264783893423793,2243,54,0.699746059133085,354,0
34,10x5_10x5x3,-5.824058081804718,2430,117,0.03353773671178481,550,0
35,6x6_6x6x2,-9.20613585184755,2218,55,0.30160874721001496,393,0
36,10x5_10x5x3,-3.4923706787517625,2117,97,0.204880385986078,545,0
37,6x6_6x6x2,-11.619384406219297,2559,65,0.888292898166065,401,0
38,10x5_10x5x3,-4.0138131526669305,2276,108,0.2652056083531567,595,0
39,6x6_6x6x2,-10.452540252280448,2308,58,0.6019362472640031,395,0
40,10x5_10x5x3,-3.4852021055002735,2131,88,0.19849181530827825,569,0
41,6x6_6x6x2,-9.395098873601281,2197,52,0.6903433363096645,386,0
42,10x5_10x5x3,-4.151602994620466,2123,101,0.20550347483338843,540,0
43,6x6_6x6x2,-9.466457960374871,2297,66,0.3307990721201129,346,0
44,10x5_10x5x3,-5.179535511188362,2185,105,0.02145803124821256,587,0
45,6x6_6x6x2,-11.309025772026501,2380,78,0.4179887442300335,368,0
46,10x5_10x5x3,-3.224832273723401,2195,103,0.43069257829067054,515,0
47,6x6_6x6x2,-8.859814317542735,2140,64,0.35911502013914287,369,0
48,10x5_10x5x3,-2.1446686578981544,2012,89,0.21863852662107583,577,0
49,6x6_6x6x2,-8.851501510297274,2136,62,0.29066439841934033,365,0
50,10x5_10x5x3,-3.8203684569465546,2086,94,0.05194758899767506,561,0
51,6x6_6x6x2,-10.646609432634616,2344,61,0.27142894504683424,380,0
52,10x5_10x5x3,-3.3028092214026943,1981,83,0.22531036105769944,590,0
53,6x6_6x6x2,-12.460595595961928,2606,76,0.7796695437221052,366,0
54,10x5_10x5x3,-5.043367118251341,2332,130,0.274506819087009,557,0
55,6x6_6x6x2,-10.397885990560006,2340,75,0.3295782896565894,367,0
56,10x5_10x5x3,-2.627293164235218,1999,99,0.24200614270838824,514,0
57,6x6_6x6x2,-10.605368478205369,2246,59,0.5638627435664757,373,0
58,10x5_10x5x3,-3.05099182703354,2025,106,0.2467369077933671,520,0
59,6x6_6x6x2,-9.802010322599838,2350,77,0.3635607277158068,367,0
60,10x5_10x5x3,-4.066681934181595,2172,110,0.19530978457028553,532,0
61,6x6_6x6x2,-8.058136999361743,2005,63,0.1995799906684884,371,0
62,10x5_10x5x3,-2.9456476012161428,2156,109,0.042266740057822494,578,0
63,6x6_6x6x2,-8.616410047987983,2209,64,0.21855743928608717,356,0
64,10x5_10x5x3,-2.6303504396720236,2109,110,0.057028478367084814,556,0
65,6x6_6x6x2,-9.225986245878234,2174,69,0.2981487872092512,355,0
66,10x5_10x5x3,-1.926977616636863,1930,87,0.1657868035180473,571,0
67,6x6_6x6x2,-9.795856893268695,2216,68,0.2991441733902321,362,0
68,10x5_10x5x3,-3.053617141945154,2274,142,0.19982575699949348,472,0
69,6x6_6x6x2,-9.299251587819981,2267,77,1.233998437856578,344,0
70,10x5_10x5x3,-1.9084391416544895,2093,97,0.044504688781465296,480,0
71,6x6_6x6x2,-10.375791182892655,2349,76,0.2080260167866455,361,0
72,10x5_10x5x3,-1.960489414307159,1971,96,0.11302788789422871,513,0
73,6x6_6x6x2,-8.62288367443759,2123,55,0.38500176121226765,362,0
74,10x5_10x5x3,-1.2985083302906402,1944,83,0.10377538348099286,569,0
75,6x6_6x6x2,-9.082690214691555,2172,59,0.18880654937761313,380,0
76,10x5_10x5x3,-2.3459122719842607,1979,86,0.00037047373629066696,558,0
77,6x6_6x6x2,-8.7117639439765,2167,55,0.11311566348780286,353,0
78,10x5_10x5x3,-2.776194541329454,2280,110,-0.02505261224313554,505,0
79,6x6_6x6x2,-8.85003848507281,2194,52,-0.02845796288994069,396,0
80,10x5_10x5x3,-0.5636099507001913,1804,77,0.07877159818051407,564,0
81,6x6_6x6x2,-8.480575231216964,2098,61,0.0693532803905059,362,0
82,10x5_10x5x3,-0.9392601478481117,1931,86,-0.030718928923137313,587,0
83,6x6_6x6x2,-8.550994065912764,2130,57,-0.042381326896710356,386,0
84,10x5_10x5x3,-1.049646857044154,1911,78,-0.05578585617984526,592,0
85,6x6_6x6x2,-7.473232005382889,2079,56,-0.000886327021622231,363,0
86,10x5_10x5x3,-1.8867697854046417,2186,100,0.0154849497473333,575,0
87,6x6_6x6x2,-8.879883844894433,2192,59,0.038665267844068804,402,0
88,10x5_10x5x3,-2.5188662453453703,2193,123,0.030845158205299483,525,0
89,6x6_6x6x2,-9.887996896360143,2348,81,0.06949149693051976,375,0
90,10x5_10x5x3,-5.325448532010364,2488,151,0.0030365851152663603,503,0
91,6x6_6x6x2,-12.154272773713581,2795,123,0.0830043103466401,378,0
92,10x5_10x5x3,-3.2034302154064713,2279,140,-0.0012375611853453206,532,0
93,6x6_6x6x2,-10.195493858162099,2381,76,-0.009462272998031325,400,0
94,10x5_10x5x3,-2.262768983484229,2027,104,0.07637149763580124,565,0
95,6x6_6x6x2,-7.37337662588687,1929,58,0.08839371715319053,358,0
96,10x5_10x5x3,-2.2227686470829737,2043,83,0.026325473416013177,583,0
97,6x6_6x6x2,-7.773238075012018,2061,56,-0.054323281826717515,371,0
98,10x5_10x5x3,-1.6103309014155671,2061,109,-0.015449438568785653,522,0
99,6x6_6x6x2,-7.968710396288874,2091,57,-0.019867497737307036,370,0
100,10x5_10x5x3,-1.3941410458671668,1933,74,-0.00582942891098257,538,0
101,6x6_6x6x2,-8.006775928318847,1983,55,-0.04002709768881852,376,0
102,10x5_10x5x3,-1.6799296513844562,1917,79,0.020149925051705,580,0
103,15x5_15x5x2,-0.23805974088614557,4057,108,-0.01320734944332529,813,0
104,10x10_10x10x4,-3.5663346644259937,2740,179,0.008835099895052902,1127,0
105,6x6_6x6x2,-9.954228349831363,2251,50,0.7688647638726981,377,0
106,10x5_10x5x3,-0.88123312714283,1896,85,0.31207192614674567,563,0
107,15x5_15x5x2,-0.08189075686461811,3848,90,0.04205434090561337,829,0
108,10x10_10x10x4,-4.056722137680595,2848,184,0.02001701871125513,1078,0
109,6x6_6x6x2,-7.555111584988492,2109,67,0.23235874814884874,310,0
110,10x5_10x5x3,-2.8044789030641932,2216,126,-0.006604418387666105,502,0
111,15x5_15x5x2,-1.0880228253488604,4212,128,0.0066867194036603905,779,0
112,10x10_10x10x4,-5.050306161908485,3109,229,0.008609091686125534,1098,0
113,6x6_6x6x2,-8.55797062211972,2128,76,0.19840894455372013,369,0
114,10x5_10x5x3,-2.311544450237881,2227,119,0.04833630063304943,476,0
115,15x5_15x5x2,-1.9251885943572051,4355,134,-0.02627449407270039,777,0
116,10x10_10x10x4,-3.955318872446036,3049,237,-0.022814239798711007,1020,0
117,6x6_6x6x2,-10.180686903470377,2444,82,0.457689103454624,347,0
118,10x5_10x5x3,-4.618342176077061,2486,168,0.01503794871885995,515,0
