algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_full_best.pt,6x6_6x6x2,3701,-14.258349469169907,220,36,310,0,0.8323627150773346,0.9982555311461206
ppo,ppo_full_best.pt,10x5_10x5x3,3927,-6.379446460187943,391,50,383,0,0.819854608729526,0.9971206214405626
ppo,ppo_full_best.pt,15x5_15x5x2,8494,-11.783066734384509,559,75,654,0,0.8225018939886176,0.9961697224426849
ppo,ppo_full_best.pt,10x10_10x10x4,4993,-13.39038831372765,608,100,945,0,0.8491313686638148,0.995930351459478
ppo,ppo_full_best.pt,15x10_15x10x3,9561,-13.322609051506664,943,150,1397,0,0.8332496107278108,0.9984329383914017
ppo,ppo_full_best.pt,20x10_20x10x5,8092,-14.3178498509135,1342,200,1747,0,0.8191101486053992,0.9958828853423529
ppo,ppo_full_best.pt,30x10_30x10x2,32364,3.9688376271070194,2096,300,2904,0,0.8398728102105816,0.9958322119758901
ppo,ppo_full_best.pt,30x10_30x10x6,10204,-4.8732208180038965,2073,300,2648,0,0.827263894429144,0.9946986407771077
ppo,ppo_full_best.pt,50x10_50x10x3,33172,2.9359733389598786,3237,500,4652,0,0.8347157255709696,0.9977341650791408
ppo,ppo_full_best.pt,100x10_100x10x3,62141,39.352717192976286,5915,1000,9355,0,0.8329236582618573,0.9973913219751509
