algorithm,model,instance,makespan,reward,decisions,tasks,force_rest_time,invalid_actions,mean_task_fatigue,max_task_fatigue
ppo,ppo_scaleinv_best.pt,6x6_6x6x2,2662,-32.540270119591554,271,36,368,0,0.8701041539025921,0.9976995937205299
ppo,ppo_scaleinv_best.pt,10x5_10x5x3,3161,-41.45695092129345,512,50,543,0,0.8667427757652737,0.9727817155097038
ppo,ppo_scaleinv_best.pt,15x5_15x5x2,4695,-63.086255260815804,706,75,837,0,0.8729573893457805,0.977520426908551
ppo,ppo_scaleinv_best.pt,10x10_10x10x4,3841,-42.263684333970424,548,100,1052,0,0.8637642789068006,0.9913954784726747
ppo,ppo_scaleinv_best.pt,15x10_15x10x3,6103,-65.32977789247848,814,150,1667,0,0.8714399233632661,0.9868262371481503
ppo,ppo_scaleinv_best.pt,20x10_20x10x5,6360,-80.10382109172987,1247,200,2109,0,0.8596843630222856,0.9965047608147009
ppo,ppo_scaleinv_best.pt,30x10_30x10x2,17802,-123.22759660068184,1647,300,3527,0,0.8851431358939974,0.9941799739317101
ppo,ppo_scaleinv_best.pt,30x10_30x10x6,8580,-106.550486924382,1732,300,3193,0,0.8659766027351551,0.9965285792884064
ppo,ppo_scaleinv_best.pt,50x10_50x10x3,21528,-174.95583441688575,2603,500,5929,0,0.8854350559585272,0.997545166207652
ppo,ppo_scaleinv_best.pt,100x10_100x10x3,42276,-343.34882204778035,5303,1000,11451,0,0.8808858384991113,0.9969622752731832
