episode,instance,reward,makespan,decisions,epsilon,loss,force_rest_time,invalid_actions
1,6x6_6x6x2,-8.491941586044014,2111,58,1.0,,370,0
2,6x6_6x6x3,-5.664953518036793,1459,76,0.96,0.18150258250534534,371,0
3,10x5_10x5x2,-4.51462569896743,3043,73,0.9216,0.15602451501643821,624,0
4,10x5_10x5x3,-1.3058933596383797,1934,82,0.884736,0.19230406531473485,531,0
5,15x5_15x5x2,-1.3320174591211047,4081,102,0.84934656,0.1620778674442394,804,0
6,15x5_15x5x3,2.0251017755508225,2559,100,0.8153726976,0.14357534393668175,794,0
7,10x10_10x10x2,-11.083895243467504,5203,148,0.782757789696,0.15511820087763104,1005,0
8,10x10_10x10x3,-5.224004478748211,3734,158,0.7514474781081599,0.11567229923756817,1114,0
9,10x10_10x10x4,-3.7833404767080694,2732,193,0.7213895789838335,0.09787427971786168,1094,0
10,15x10_15x10x2,-6.133075603729211,7714,173,0.6925339958244802,0.08400689026696144,1699,0
11,15x10_15x10x3,-2.0465254322217854,5170,207,0.6648326359915009,0.07953163385391235,1683,0
12,15x10_15x10x4,1.1417808916660084,4236,240,0.6382393305518408,0.07160408269613981,1714,0
13,20x5_20x5x2,2.946246568202324,5498,125,0.6127097573297672,0.07992119091749192,1209,0
14,20x5_20x5x3,5.755750129054415,3729,131,0.5882013670365764,0.0881101961695511,1239,0
15,6x6_6x6x2,-10.864675480309625,2518,73,0.5646733123551133,0.09592749658104492,345,0
16,6x6_6x6x3,-5.726211073432317,1590,115,0.5420863798609088,0.09450678873969161,313,0
17,10x5_10x5x2,-3.8694889590537365,2900,69,0.5204029246664724,0.09433044077477594,593,0
18,10x5_10x5x3,-1.1353201149561598,1958,92,0.4995868076798135,0.09611957030289847,566,0
19,15x5_15x5x2,-1.4157099672612583,3969,112,0.47960333537262095,0.1034678100342197,816,0
20,15x5_15x5x3,2.045344125556497,2675,114,0.4604192019577161,0.09583234375244692,835,0
21,10x10_10x10x2,-10.886853369955723,5184,140,0.4420024338794074,0.10268181264400482,1057,0
22,10x10_10x10x3,-7.276899225976602,4188,233,0.42432233652423107,0.0902079963684082,1102,0
23,10x10_10x10x4,-8.179085454367442,3042,264,0.4073494430632618,0.08546647110953927,1056,0
24,15x10_15x10x2,-5.302611954669187,7491,178,0.3910554653407313,0.08383767684565836,1700,0
25,15x10_15x10x3,-2.0552863342114254,5503,257,0.3754132467271021,0.08049503173679114,1672,0
26,15x10_15x10x4,1.5816097610377038,3917,240,0.360396716858018,0.07680750725790858,1700,0
27,20x5_20x5x2,3.767636256442043,5321,125,0.3459808481836973,0.07684444388747215,1163,0
28,20x5_20x5x3,7.029076457775799,3499,116,0.33214161425634936,0.08609090607356408,1257,0
29,6x6_6x6x2,-13.690965733338254,2783,132,0.3188559496860954,0.08765426755064365,317,0
30,6x6_6x6x3,-8.619403422283018,1873,155,0.3061017116986515,0.08592718608917728,288,0
31,10x5_10x5x2,-5.342176385845839,3029,101,0.29385764323070546,0.08532512800233198,590,0
32,10x5_10x5x3,-2.1791559561787617,2130,122,0.2821033375014772,0.08584354001051578,576,0
33,15x5_15x5x2,0.5751335490763037,3697,93,0.2708192040014181,0.08178141681096887,838,0
34,15x5_15x5x3,3.413924649126119,2594,121,0.2599864358413614,0.08624851420398585,878,0
35,10x10_10x10x2,-9.90276216301729,5062,149,0.2495869784077069,0.08504250678140045,1052,0
36,10x10_10x10x3,-5.26592275908524,4175,233,0.23960349927139862,0.08764895640313625,1155,0
37,10x10_10x10x4,-1.8057242253268095,2675,173,0.23001935930054268,0.08013659230072719,1083,0
38,15x10_15x10x2,-5.915478678765236,7843,203,0.22081858492852097,0.07860096470452844,1708,0
39,15x10_15x10x3,0.21127229191612784,4966,199,0.21198584153138011,0.07511316032041257,1766,0
40,15x10_15x10x4,2.106116808002433,4100,277,0.2035064078701249,0.07253507534042,1709,0
41,20x5_20x5x2,3.6511143319302817,5462,119,0.1953661515553199,0.07369146060918559,1232,0
42,20x5_20x5x3,6.987985628132357,3415,115,0.1875515054931071,0.07530341451258762,1242,0
43,6x6_6x6x2,-9.142984089360214,2409,96,0.1800494452733828,0.07715153193566948,386,0
44,6x6_6x6x3,-11.453179416140046,1734,155,0.17284746746244747,0.08323923265261035,322,0
45,10x5_10x5x2,-3.668742527194012,2965,79,0.16593356876394957,0.0809643541615975,613,0
46,10x5_10x5x3,-0.5529808860010716,1955,97,0.15929622601339158,0.07868194823950223,561,0
47,15x5_15x5x2,0.5440174307292596,3813,90,0.1529243769728559,0.078274913960033,868,0
48,15x5_15x5x3,2.8780374153006307,2687,121,0.14680740189394167,0.0793188525102109,833,0
49,10x10_10x10x2,-9.425192035644448,5664,233,0.140935105818184,0.07861735349521042,1025,0
50,10x10_10x10x3,-7.572862551699235,4691,304,0.13529770158545662,0.07519648711197079,1048,0
51,10x10_10x10x4,-2.183615027950703,2764,195,0.12988579352203836,0.07589721601360884,1120,0
52,15x10_15x10x2,-5.203928207383116,8409,300,0.12469036178115682,0.07648367137648165,1617,0
53,15x10_15x10x3,-0.3277294023532371,5200,221,0.11970274730991054,0.06963760188780725,1768,0
54,15x10_15x10x4,3.626776350282573,3732,207,0.11491463741751412,0.0692080063559115,1778,0
55,20x5_20x5x2,4.423814834853632,5184,111,0.11031805192081355,0.0713478445436235,1251,0
56,20x5_20x5x3,7.085153616400917,3471,118,0.105905329843981,0.07733343110688157,1242,0
57,6x6_6x6x2,-14.234503287530638,3206,168,0.10166911665022176,0.07456320681653562,320,0
58,6x6_6x6x3,-8.57192925071178,2186,203,0.09760235198421288,0.073456963095814,266,0
59,10x5_10x5x2,-2.434595711746288,2776,76,0.09369825790484436,0.07692630689493135,613,0
60,10x5_10x5x3,-2.40176748066424,2078,116,0.08995032758865058,0.0773749924585994,578,0
61,15x5_15x5x2,1.0343863563747737,3588,93,0.08635231448510455,0.07205136284552595,883,0
62,15x5_15x5x3,2.3468454491581134,2616,130,0.08289822190570037,0.07659150694425289,830,0
63,10x10_10x10x2,-9.782565868902989,5545,208,0.07958229302947235,0.07557041531428695,1065,0
64,10x10_10x10x3,-5.031898222299476,4041,220,0.07639900130829345,0.07253067692741752,1094,0
65,10x10_10x10x4,-1.8181335610647464,2966,239,0.07334304125596171,0.0688467528205365,1093,0
66,15x10_15x10x2,-4.543960190602853,7698,207,0.07040931960572323,0.07082617904059589,1744,0
67,15x10_15x10x3,1.3940438227513954,4815,184,0.0675929468214943,0.0699859619565794,1824,0
68,15x10_15x10x4,2.6486897046192555,4019,256,0.06488922894863453,0.0684114327095449,1778,0
69,20x5_20x5x2,3.7494450950123905,5336,111,0.06229365979068914,0.06738492571287327,1250,0
70,20x5_20x5x3,7.091435911713349,3473,128,0.059801913399061574,0.06753576945629902,1224,0
71,6x6_6x6x2,-8.397854428310476,2648,136,0.05740983686309911,0.07008730574949261,308,0
72,6x6_6x6x3,-7.224583217871847,1604,136,0.05511344338857514,0.07245591152733301,346,0
73,10x5_10x5x2,-2.138838050611856,2586,65,0.052908905653032134,0.0744390457868576,605,0
74,10x5_10x5x3,-0.7671147516550836,1948,96,0.050792549426910846,0.07041143090464175,561,0
75,15x5_15x5x2,0.5919617845715157,3686,90,0.04876084744983441,0.07070630457666185,882,0
76,15x5_15x5x3,3.829569143535174,2405,94,0.04681041355184103,0.06899636446874827,836,0
77,10x10_10x10x2,-8.862244873368539,5261,179,0.04493799700976739,0.07595491972257638,1066,0
78,10x10_10x10x3,-3.4738379423685193,3579,155,0.04314047712937669,0.07109865483737761,1134,0
79,10x10_10x10x4,-1.457487913175406,2725,195,0.04141485804420163,0.06966399298742032,1056,0
80,15x10_15x10x2,-4.358434488766358,7429,182,0.03975826372243356,0.07418664997177464,1757,0
81,15x10_15x10x3,0.8756647589503661,4783,169,0.038167933173536214,0.06945002973410329,1825,0
82,15x10_15x10x4,3.280631731556893,3873,243,0.036641215846594764,0.0675083158351481,1790,0
83,20x5_20x5x2,4.47930177447331,5127,109,0.03517556721273097,0.06655177164720286,1261,0
84,20x5_20x5x3,7.340278791817465,3408,120,0.033768544524221726,0.06557044268896182,1238,0
85,6x6_6x6x2,-15.180667135718668,4855,355,0.03241780274325286,0.06631869871169328,337,0
