episode,instance,reward,makespan,decisions,loss,force_rest_time,invalid_actions
1,6x6_6x6x2,-10.69176141641628,2363,62,5.807843187853933,363,0
2,6x6_6x6x3,-6.080858114716943,1443,76,0.1077307700914772,407,0
3,10x5_10x5x2,-3.502673842607794,2902,56,0.08104360675705331,629,0
4,10x5_10x5x3,-1.1328738143969934,1981,88,0.17811695084145124,567,0
5,15x5_15x5x2,-0.2483012918876788,3935,96,0.10170368905043385,844,0
6,15x5_15x5x3,2.764559406188498,2603,102,0.10250038145036967,819,0
7,10x10_10x10x2,-9.596178619136758,4865,115,2.25839237602954,1108,0
8,10x10_10x10x3,-6.96333652426165,3865,153,0.04381792093901074,1101,0
9,10x10_10x10x4,-3.921639811671607,2856,193,0.02216012064618459,1052,0
10,15x10_15x10x2,-6.772247432470936,7927,184,0.06007743143582838,1702,0
11,15x10_15x10x3,-3.134919156549083,5437,241,0.016197077547397104,1627,0
12,15x10_15x10x4,-0.6733846424764864,4189,274,0.0060090958837582895,1574,0
13,20x5_20x5x2,2.348921359508948,5826,123,0.142937217259825,1221,0
14,20x5_20x5x3,5.554569344587576,3652,130,0.08742143001335746,1152,0
15,6x6_6x6x2,-10.775941448941621,2414,66,5.49531023923985,346,0
16,6x6_6x6x3,-4.497810310836637,1342,72,0.2319263462494645,354,0
17,10x5_10x5x2,-3.896821264169074,2935,76,-0.01309210778900275,580,0
18,10x5_10x5x3,-0.7180280639155674,1894,70,0.012532531433472674,581,0
19,15x5_15x5x2,-1.0718807249645073,4294,109,-0.005247070493578159,854,0
20,15x5_15x5x3,2.8453729266992704,2608,107,0.04711663796540314,825,0
21,10x10_10x10x2,-10.036788102199177,4979,138,1.297999939386922,1019,0
22,10x10_10x10x3,-7.071875390698828,4035,178,0.014573700087710039,1107,0
23,10x10_10x10x4,-4.610022401325125,2974,236,0.020826769791448773,1111,0
24,15x10_15x10x2,-7.292034064378213,7948,178,0.06472340435197764,1671,0
25,15x10_15x10x3,-2.3220181527828934,5360,224,0.02777452640501516,1678,0
26,15x10_15x10x4,1.710460754228282,3813,201,0.01641694152848193,1716,0
27,20x5_20x5x2,3.215456765031815,5498,113,0.022709467398843407,1231,0
28,20x5_20x5x3,5.721437609400189,3641,139,0.02144473408208155,1180,0
29,6x6_6x6x2,-8.257468075763143,2129,54,3.8915400281246684,386,0
30,6x6_6x6x3,-7.496766368644897,1685,94,0.03072869632903367,391,0
31,10x5_10x5x2,-4.542065494079202,2937,71,0.06300705318457223,620,0
32,10x5_10x5x3,-0.9949519901944007,1829,76,0.09395763477138978,618,0
33,15x5_15x5x2,-0.8636303763187838,4022,85,-0.019745091332451385,873,0
34,15x5_15x5x3,2.568759847817698,2490,96,0.037152712044189684,822,0
35,10x10_10x10x2,-11.218646351585754,5155,126,1.490525215306127,1079,0
36,10x10_10x10x3,-5.314124784472876,3753,143,0.10058318804363377,1191,0
37,10x10_10x10x4,-3.388323981068976,2676,160,-0.003943087867810391,1159,0
38,15x10_15x10x2,-6.7587253647963745,7742,182,0.0074636426672421334,1684,0
39,15x10_15x10x3,-1.2281196345375551,5111,194,0.011281973447113002,1708,0
40,15x10_15x10x4,-0.29510228942974415,4212,250,0.0011214851848781095,1682,0
41,20x5_20x5x2,2.9056676773518415,5550,120,-0.0005822097106526307,1230,0
42,20x5_20x5x3,6.46954144445294,3612,133,0.026470094737141646,1234,0
43,6x6_6x6x2,-7.817277697206094,2105,57,2.668421102254733,351,0
44,6x6_6x6x3,-3.6356733544325257,1185,47,0.11699352933569476,378,0
45,10x5_10x5x2,-3.860219741922434,2902,69,-0.03532284719572551,640,0
46,10x5_10x5x3,-1.2536951470734337,1917,61,0.02184996620339693,617,0
47,15x5_15x5x2,-0.057474649500217634,3951,86,-0.0251283424819798,891,0
48,15x5_15x5x3,3.366621374203187,2455,92,0.09268258214907964,828,0
49,10x10_10x10x2,-12.123946568257239,5312,143,1.5783335436428605,1040,0
50,10x10_10x10x3,-5.873382300562287,3703,130,0.08563016067760496,1227,0
51,10x10_10x10x4,-3.19901884074433,2600,128,-0.02965149941155687,1165,0
52,15x10_15x10x2,-6.594752941365459,7635,175,0.022224579116861737,1729,0
53,15x10_15x10x3,-1.0206190857231097,5222,200,0.030058353628264735,1732,0
54,15x10_15x10x4,2.162612234601176,3871,184,-0.020616788487962407,1744,0
55,20x5_20x5x2,4.118544957332716,5286,107,0.030985830660700514,1216,0
56,20x5_20x5x3,6.8299576854300765,3511,121,0.013733462884652712,1239,0
57,6x6_6x6x2,-8.233288916527187,2058,53,3.798736386356946,392,0
58,6x6_6x6x3,-5.124487337328198,1351,63,0.05241167222681854,369,0
59,10x5_10x5x2,-3.8630651373259157,2896,68,-0.014525669620043655,610,0
60,10x5_10x5x3,-0.10839378405544609,1795,59,0.1136804045635765,615,0
61,15x5_15x5x2,-0.7413559788743875,4078,85,-0.014622794091701509,836,0
62,15x5_15x5x3,1.9376033716882726,2648,107,-0.009338917463112656,851,0
63,10x10_10x10x2,-9.390346535297894,4850,117,0.9629265066538739,1086,0
64,10x10_10x10x3,-4.520368526574746,3654,125,0.09069946404919028,1140,0
65,10x10_10x10x4,-2.7088356503923148,2696,135,0.02128702406426547,1140,0
66,15x10_15x10x2,-5.502750308492498,7524,174,-0.012453903768602332,1665,0
67,15x10_15x10x3,-1.0065163734101088,5218,201,0.004521130911996636,1721,0
68,15x10_15x10x4,2.231471318234795,3817,189,0.005630620474380161,1731,0
69,20x5_20x5x2,3.839426197923428,5325,108,0.028759274940023682,1223,0
70,20x5_20x5x3,5.99645475249331,3730,146,-0.014839757958663092,1224,0
71,6x6_6x6x2,-7.026172066493747,1944,48,3.105671066005016,395,0
72,6x6_6x6x3,-4.894170827049226,1445,82,0.018766621187352006,382,0
73,10x5_10x5x2,-2.7619224471342743,2643,55,0.009664670107039544,596,0
74,10x5_10x5x3,-1.444475019041647,2005,90,-0.009206803846690387,596,0
75,15x5_15x5x2,-0.07313434305539346,3832,84,-0.043058330073974846,887,0
76,15x5_15x5x3,1.615052024042693,2663,117,-0.007182753254842555,837,0
77,10x10_10x10x2,-9.59584492054775,4843,112,1.0997670864536695,1131,0
78,10x10_10x10x3,-5.025620846728989,3760,155,0.07351470594144155,1172,0
79,10x10_10x10x4,-2.286957905536369,2698,159,-0.00043716174169625144,1109,0
80,15x10_15x10x2,-6.143854126158726,7600,166,0.005582056950822655,1693,0
81,15x10_15x10x3,-0.7755647837999364,5160,178,0.033732649619073685,1808,0
82,15x10_15x10x4,2.252211928989139,3890,185,-0.0038194929325097333,1783,0
83,20x5_20x5x2,3.3819963616175217,5378,114,-0.0015841556545510335,1228,0
84,20x5_20x5x3,6.3569067336848,3588,119,0.012795932506829377,1205,0
85,6x6_6x6x2,-7.947422677084637,1948,43,5.129751711304104,401,0
86,6x6_6x6x3,-5.214835061120984,1368,58,0.09130022892375188,400,0
87,10x5_10x5x2,-3.052054407932552,2760,58,0.018031221059761172,618,0
88,10x5_10x5x3,-1.0994818354546674,1889,72,0.012723992586769685,622,0
89,15x5_15x5x2,0.4562019831357902,3805,80,-0.02191358713025693,896,0
90,15x5_15x5x3,3.0628432434631327,2479,92,0.023170901344755024,873,0
91,10x10_10x10x2,-10.093550788895637,5101,130,1.3374016633490102,1119,0
92,10x10_10x10x3,-5.400276286689461,3832,138,0.06048421226475604,1208,0
93,10x10_10x10x4,-3.9367281023417267,2724,171,0.01169748256413255,1129,0
94,15x10_15x10x2,-5.6978596787869815,7651,159,0.09626382162776899,1730,0
95,15x10_15x10x3,-0.06742993924609797,5022,169,0.06541449110403923,1743,0
96,15x10_15x10x4,1.3434478770288307,3954,197,-0.02024036548738628,1789,0
97,20x5_20x5x2,3.7398632082322427,5341,111,0.028432606555823536,1239,0
98,20x5_20x5x3,5.463963823863217,3828,143,0.009790826763085032,1201,0
99,6x6_6x6x2,-8.713365697699174,2123,57,4.120150853038291,398,0
100,6x6_6x6x3,-6.151839381131896,1561,84,0.033902119534711055,345,0
