Job,Machine,,,,,,,,,,,"W1, W2","W1, W2","W1, W2","W1, W2","W1, W2","W1, W2","W1, W2","W1, W2","W1, W2","W1, W2"
J1,7,2,5,3,9,4,1,6,10,8,,"[64,59]","[31,27]","[120,93]","[87,65]","[18,33]","[108,80]","[69,73]","[143,121]","[67,83]","[48,51]"
J2,8,3,10,5,2,6,9,1,4,7,,"[83,95]","[51,51]","[38,32]","[114,134]","[30,29]","[95,148]","[46,72]","[116,126]","[85,84]","[44,39]"
J3,3,6,1,4,2,7,5,9,8,10,,"[67,74]","[71,83]","[46,44]","[69,53]","[48,46]","[78,79]","[52,55]","[28,38]","[60,110]","[36,55]"
J4,5,7,8,1,3,6,4,2,10,9,,"[41,42]","[103,86]","[41,30]","[69,62]","[45,35]","[93,93]","[102,115]","[63,53]","[60,57]","[105,100]"
J5,1,7,5,2,3,4,10,9,6,8,,"[93,113]","[109,99]","[86,106]","[73,65]","[73,67]","[48,39]","[54,45]","[83,99]","[49,29]","[50,41]"
J6,3,7,4,6,2,9,1,10,5,8,,"[36,88]","[117,110]","[23,47]","[135,106]","[67,112]","[90,90]","[62,68]","[72,69]","[46,54]","[50,61]"
J7,5,4,2,6,7,8,9,10,1,3,,"[47,53]","[47,54]","[51,48]","[79,82]","[38,53]","[35,25]","[57,48]","[32,42]","[51,35]","[98,88]"
J8,2,8,4,5,7,10,9,1,3,6,,"[120,139]","[100,100]","[58,53]","[51,54]","[51,70]","[114,138]","[27,26]","[42,40]","[22,35]","[47,58]"
J9,4,9,1,3,2,6,5,10,8,7,,"[104,67]","[35,37]","[70,131]","[54,99]","[115,92]","[61,76]","[121,125]","[65,40]","[68,64]","[120,99]"
J10,1,3,4,6,7,10,9,5,8,2,,"[91,43]","[50,37]","[122,118]","[91,99]","[28,32]","[54,36]","[66,71]","[73,65]","[58,48]","[108,86]"
