Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,9,5,4,3,1,6,10,2,8,7,"[102,87]","[72,64]","[76,54]","[160,121]","[113,93]","[87,141]","[144,106]","[89,64]","[33,35]","[51,50]"
J2,6,4,3,5,7,10,1,2,8,9,"[42,35]","[73,103]","[106,107]","[54,58]","[37,39]","[65,77]","[71,111]","[98,62]","[117,113]","[51,62]"
J3,10,2,1,7,5,8,4,6,9,3,"[135,114]","[85,106]","[38,50]","[65,34]","[75,142]","[32,39]","[58,49]","[63,43]","[40,47]","[131,59]"
J4,3,2,1,6,5,8,10,9,4,7,"[52,36]","[77,115]","[20,32]","[61,87]","[44,43]","[86,85]","[74,74]","[82,61]","[50,68]","[120,112]"
J5,7,3,4,9,5,8,2,6,10,1,"[82,85]","[41,46]","[85,104]","[117,79]","[90,99]","[78,49]","[40,24]","[61,48]","[133,98]","[50,62]"
J6,9,3,8,1,6,4,5,7,10,2,"[106,84]","[137,137]","[107,113]","[35,33]","[150,108]","[54,50]","[65,87]","[71,78]","[35,39]","[80,125]"
J7,1,3,4,6,5,10,9,7,8,2,"[76,79]","[38,32]","[93,144]","[64,69]","[109,146]","[112,123]","[46,57]","[104,85]","[110,116]","[60,45]"
J8,4,8,10,1,3,5,6,2,9,7,"[54,55]","[40,37]","[75,42]","[38,33]","[49,56]","[38,69]","[39,27]","[136,104]","[115,108]","[40,33]"
J9,3,4,5,7,2,10,9,1,6,8,"[50,39]","[121,125]","[66,117]","[149,153]","[121,134]","[146,86]","[56,56]","[34,51]","[51,72]","[94,52]"
J10,8,9,5,7,1,6,3,10,4,2,"[53,59]","[130,85]","[54,53]","[70,60]","[94,116]","[125,96]","[68,71]","[67,67]","[28,44]","[69,44]"
J11,9,7,8,5,6,4,1,3,10,2,"[62,66]","[67,45]","[48,61]","[81,136]","[53,63]","[46,42]","[84,57]","[70,138]","[47,75]","[97,102]"
J12,2,6,9,7,5,1,4,3,8,10,"[45,44]","[121,120]","[31,38]","[68,90]","[51,74]","[46,55]","[59,90]","[50,60]","[25,32]","[41,30]"
J13,3,7,8,2,5,9,1,4,10,6,"[42,55]","[79,83]","[29,38]","[95,86]","[93,109]","[41,58]","[130,85]","[49,68]","[58,67]","[27,28]"
J14,7,3,6,9,2,8,10,5,4,1,"[68,79]","[67,115]","[27,24]","[32,29]","[70,84]","[133,93]","[48,79]","[46,37]","[29,64]","[54,69]"
J15,5,8,9,2,4,3,7,10,6,1,"[128,104]","[60,51]","[56,82]","[50,59]","[80,93]","[38,31]","[66,92]","[85,76]","[49,65]","[24,27]"
