,,,,,,,Processing Time
Job,Machine,,,,,,"W1, W2, W3"
J1,3,2,1,4,5,,"[110,66,105]"
J2,1,4,2,5,3,,"[74,84,73]"
J3,1,2,3,5,4,,"[48,65,64]"
J4,3,4,5,1,2,,"[97,80,123]"
J5,1,5,4,2,3,,"[95,87,78]"
J6,5,3,1,4,2,,"[88,89,135]"
J7,1,5,3,2,4,,"[48,47,64]"
J8,5,4,2,3,1,,"[64,93,84]"
J9,5,2,1,3,4,,"[31,32,29]"
J10,1,2,3,5,4,,"[98,66,98]"
J11,1,4,2,5,3,,"[100,111,90]"
J12,5,3,1,2,4,,"[71,94,77]"
J13,2,3,5,1,4,,"[61,45,72]"
J14,3,2,5,1,4,,"[60,53,74]"
J15,5,1,4,3,2,,"[49,49,50]"
J16,2,1,5,4,3,,"[72,97,110]"
J17,5,2,4,1,3,,"[58,34,37]"
J18,2,1,3,4,5,,"[78,85,46]"
J19,5,1,3,2,4,,"[53,95,82]"
J20,5,3,2,4,1,,"[41,66,76]"
