Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,2,4,3,1,5,"[107,124]","[100,69]","[48,67]","[39,42]","[112,85]"
J2,4,2,3,5,1,"[62,64]","[88,95]","[136,139]","[88,92]","[40,45]"
J3,4,2,1,3,5,"[60,54]","[62,77]","[82,110]","[149,110]","[108,94]"
J4,1,2,3,4,5,"[38,58]","[40,66]","[64,75]","[35,59]","[112,103]"
J5,1,5,3,4,2,"[69,74]","[83,76]","[70,70]","[105,105]","[54,78]"
J6,1,4,2,3,5,"[75,77]","[71,41]","[82,91]","[60,26]","[43,48]"
J7,4,3,5,2,1,"[82,90]","[73,115]","[39,46]","[88,85]","[126,100]"
J8,3,2,4,5,1,"[88,77]","[99,78]","[90,86]","[107,64]","[58,66]"
J9,3,5,1,2,4,"[97,97]","[120,125]","[116,73]","[43,88]","[98,100]"
J10,3,5,4,2,1,"[133,120]","[38,27]","[36,34]","[104,87]","[84,84]"
J11,1,5,3,2,4,"[27,15]","[113,97]","[120,165]","[109,103]","[87,94]"
J12,2,1,4,5,3,"[104,100]","[120,103]","[81,94]","[135,100]","[64,55]"
J13,2,1,5,4,3,"[43,74]","[51,82]","[58,75]","[98,75]","[121,99]"
J14,4,2,3,1,5,"[43,40]","[65,79]","[28,26]","[144,97]","[117,108]"
J15,1,2,3,5,4,"[73,79]","[89,51]","[71,126]","[141,152]","[74,101]"
J16,4,5,3,1,2,"[66,83]","[62,49]","[70,88]","[110,113]","[91,49]"
J17,2,5,1,3,4,"[28,40]","[92,122]","[73,64]","[49,52]","[47,58]"
J18,3,4,2,5,1,"[62,92]","[50,51]","[29,45]","[73,63]","[47,37]"
J19,1,4,5,2,3,"[153,110]","[91,118]","[40,40]","[38,35]","[121,86]"
J20,3,5,4,1,2,"[101,118]","[20,33]","[104,93]","[77,83]","[22,35]"
J21,1,5,4,3,2,"[127,81]","[19,47]","[42,54]","[43,38]","[28,19]"
J22,3,1,2,5,4,"[71,119]","[76,94]","[33,28]","[62,90]","[129,144]"
J23,4,3,2,5,1,"[37,35]","[93,61]","[64,48]","[137,128]","[40,35]"
J24,2,3,5,1,4,"[41,58]","[88,133]","[112,110]","[36,59]","[37,48]"
J25,4,3,1,5,2,"[68,102]","[56,34]","[29,30]","[62,80]","[111,75]"
J26,5,3,1,2,4,"[89,123]","[106,87]","[69,76]","[128,145]","[91,80]"
J27,4,2,1,3,5,"[54,39]","[27,36]","[38,31]","[78,89]","[156,112]"
J28,2,4,1,5,3,"[43,41]","[97,78]","[76,93]","[104,122]","[57,64]"
J29,2,5,1,4,3,"[59,56]","[38,56]","[125,103]","[100,101]","[36,58]"
J30,3,2,5,4,1,"[23,35]","[139,132]","[142,113]","[53,29]","[65,87]"
