Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,1,2,3,4,5,,"[119,85,119]","[36,57,58]","[37,55,45]","[93,136,136]","[70,51,61]"
J2,1,2,4,3,5,,"[88,76,71]","[32,25,37]","[144,101,146]","[89,89,97]","[77,69,122]"
J3,2,1,3,5,4,,"[50,79,101]","[120,91,97]","[106,101,89]","[80,80,76]","[73,110,88]"
J4,2,1,5,3,4,,"[35,46,43]","[82,99,136]","[74,60,53]","[115,122,111]","[25,32,24]"
J5,3,2,1,4,5,,"[58,49,33]","[73,80,116]","[41,58,39]","[49,74,66]","[93,120,93]"
J6,3,2,5,1,4,,"[81,69,87]","[24,33,25]","[67,90,77]","[41,36,35]","[122,109,62]"
J7,2,1,3,4,5,,"[38,53,57]","[34,25,29]","[37,28,38]","[79,63,98]","[92,57,99]"
J8,3,2,1,4,5,,"[85,98,72]","[36,61,80]","[117,105,118]","[80,73,71]","[40,22,24]"
J9,1,4,3,2,5,,"[69,88,114]","[43,71,57]","[46,43,53]","[59,82,67]","[52,72,61]"
J10,2,3,1,4,5,,"[31,42,29]","[92,112,115]","[121,61,120]","[126,115,148]","[103,101,65]"
J11,2,4,1,5,3,,"[47,56,63]","[43,26,62]","[96,57,88]","[107,108,80]","[82,116,141]"
J12,3,1,2,4,5,,"[99,136,96]","[16,42,56]","[53,47,53]","[78,53,80]","[40,25,47]"
J13,1,3,2,4,5,,"[27,33,32]","[72,118,93]","[106,123,86]","[106,80,99]","[102,97,125]"
J14,3,1,2,4,5,,"[96,107,89]","[66,82,106]","[47,42,52]","[101,90,90]","[76,71,65]"
J15,1,2,5,3,4,,"[49,62,60]","[46,33,35]","[110,81,63]","[64,75,61]","[93,75,130]"
J16,2,1,4,5,3,,"[73,62,67]","[88,85,55]","[122,96,120]","[77,69,96]","[58,133,117]"
J17,1,3,2,4,5,,"[57,82,69]","[53,39,56]","[102,88,83]","[118,110,83]","[46,44,32]"
J18,1,2,5,3,4,,"[131,114,77]","[67,111,84]","[67,80,69]","[98,96,75]","[40,32,44]"
J19,2,3,1,4,5,,"[120,104,97]","[38,53,70]","[73,69,64]","[55,53,82]","[84,90,74]"
J20,1,2,3,4,5,,"[103,110,77]","[134,117,104]","[110,116,76]","[99,59,115]","[32,45,51]"
J21,2,1,3,4,5,,"[86,58,80]","[90,111,100]","[69,45,50]","[97,109,122]","[97,122,86]"
J22,1,2,5,3,4,,"[94,126,66]","[109,106,66]","[85,112,90]","[117,145,99]","[104,127,82]"
J23,2,3,1,4,5,,"[34,34,36]","[60,69,94]","[42,71,44]","[79,65,69]","[46,58,67]"
J24,3,2,1,4,5,,"[73,55,80]","[105,83,104]","[73,96,71]","[84,77,97]","[70,126,69]"
J25,3,1,2,4,5,,"[66,65,74]","[100,87,124]","[61,56,90]","[121,125,113]","[43,59,55]"
J26,1,4,3,2,5,,"[104,111,134]","[60,95,90]","[100,113,98]","[79,55,47]","[34,33,36]"
J27,2,1,3,5,4,,"[132,82,117]","[81,74,76]","[41,35,43]","[52,47,58]","[36,21,29]"
J28,2,1,5,3,4,,"[72,78,69]","[88,109,72]","[75,52,65]","[95,84,63]","[44,78,74]"
J29,1,3,2,4,5,,"[86,77,91]","[68,76,127]","[45,40,31]","[124,113,106]","[65,77,82]"
J30,2,1,4,5,3,,"[39,33,30]","[130,104,137]","[77,131,110]","[119,115,124]","[94,88,142]"
